word_english,frequency_kf,familiar_mean,familiar_sd,pronounce_mean,pronounce_sd
acceptance,3,5,1.59,6.43,1.11
accordion,1,3.17,1.76,6.05,1.26
achievement,6,5.29,1.48,6.41,1.11
acquaintance,1,4.41,1.63,5.98,1.42
acreage,2,3.57,2.17,5.55,1.37
advances,1,4.9,1.51,6.5,1.02
advertising,3,5.38,1.57,6.2,1.32
appeasement,1,3.05,1.58,5.86,1.39
arrival,1,4.67,1.6,6.64,0.72
assignments,1,6.38,1.09,6.57,0.9
banquet,1,4.62,1.61,6.48,0.88
belting,1,3.48,1.72,6.52,0.88
birdie,4,4.91,1.73,6.61,0.78
bottling,1,4.59,1.68,6.05,1.06
breakfast,2,6.1,1.28,6.7,0.7
breakups,1,5.05,1.54,6.7,0.59
brother,4,5.95,1.55,6.7,0.76
buyers,2,5.05,1.55,6.41,0.97
campaign,5,4.81,1.58,6.32,1.14
careers,2,5.79,1.18,6.64,0.75
centers,2,4.98,1.56,6.61,0.87
cheer,1,5.43,1.43,6.82,0.58
client,4,4.83,1.7,6.55,0.98
climate,5,5.14,1.52,6.68,0.71
clothing,21,5.83,1.39,6.66,0.71
coach,4,5.34,1.69,6.89,0.39
colleges,7,6.43,0.96,6.57,0.9
committee,17,5.16,1.61,6.34,1.06
commodities,2,3.6,1.87,6.09,1.38
comradeship,2,3.05,1.78,5.34,1.58
conductor,1,4.21,1.79,6.57,0.97
consultation,1,4.07,1.83,6.07,1.4
continents,1,4.57,1.71,6.27,1.26
contrast,1,4.84,1.45,6.52,0.93
convention,1,4.57,1.81,6.57,0.87
cookies,1,5.88,1.42,6.8,0.63
correspondence,1,4.09,1.89,6.11,1.32
county,16,5.76,1.45,6.55,0.93
credit,3,5.86,1.38,6.7,0.73
criticisms,1,4.48,1.8,6.05,1.35
crowd,2,5.62,1.28,6.77,0.6
crowns,1,4.29,1.85,6.84,0.48
cruelty,1,4.47,1.7,6.32,1.2
dates,2,5.93,1.14,6.8,0.46
decisions,5,6.1,1.24,6.52,1
denials,1,4.19,1.65,6.48,1.09
designer,2,4.81,1.62,6.52,0.9
disputes,2,4.33,1.68,6.53,0.85
duel,2,4.19,1.96,6.59,0.87
echoes,1,4.22,1.77,6.57,0.79
economics,2,5.04,1.66,6.43,1.09
element,1,4.71,1.6,6.52,0.85
employment,6,5.69,1.34,6.7,0.82
enigma,1,3.36,1.75,6,1.4
enrollments,1,4.97,1.5,6.39,1.1
epicure,1,2.17,1.61,5.41,1.8
episodes,1,5,1.59,6.41,1.11
equipment,25,5.48,1.39,6.52,0.85
ethics,1,4.83,1.75,6.61,0.75
exchanges,2,5.03,1.58,6.5,0.88
extreme,1,5.41,1.45,6.57,0.97
fancy,1,4.98,1.68,6.77,0.57
fans,1,5.69,1.29,6.84,0.57
filibusters,1,2.53,1.49,5.73,1.56
flow,4,4.95,1.62,6.91,0.29
fly,3,5.95,1.26,6.93,0.25
founding,1,4.07,1.69,6.55,0.93
fronts,3,4.4,1.72,6.64,0.78
gains,6,4.64,1.53,6.75,0.61
gallery,10,4.62,1.79,6.66,0.68
general,4,5.48,1.35,6.61,0.87
gin,12,4.86,1.87,6.75,0.72
goods,3,5.29,1.46,6.77,0.57
grabbing,1,4.5,1.6,6.7,0.73
graduate,1,5.76,1.38,6.57,0.82
grain,1,4.72,1.89,6.82,0.39
grants,2,4.81,1.62,6.8,0.55
grass,2,6.26,1.09,6.82,0.5
groupings,2,4.24,1.69,6.52,0.79
hamlet,1,3.47,1.84,6.7,0.7
hat,1,6.45,0.8,6.89,0.49
headlines,1,4.98,1.7,6.64,0.81
hitter,1,4.66,1.7,6.7,0.82
hog,1,5.33,1.62,6.89,0.62
hopes,4,5.6,1.41,6.7,0.82
house,8,6.43,1.01,6.8,0.7
inadequacy,1,3.86,1.75,5.91,1.34
injury,13,5.64,1.21,6.59,0.79
instincts,1,4.83,1.65,6.57,0.9
institution,5,4.79,1.72,6.28,1.16
insult,1,5.43,1.48,6.8,0.55
interview,1,5.4,1.59,6.57,0.79
investors,10,4.4,1.62,6.57,0.85
invitation,1,4.98,1.62,6.41,1.02
journalist,1,4.88,1.63,6.48,1.05
knocks,5,4.84,1.59,6.82,0.54
landscape,1,5.16,1.54,6.61,0.81
legend,1,4.95,1.67,6.64,0.84
legislator,2,4.12,1.77,6.05,1.33
liberty,1,4.59,1.67,6.64,0.72
life,9,6.26,1.16,6.68,1.12
limitations,1,4.69,1.67,6.34,0.99
look,1,6.19,1.03,6.86,0.35
loss,1,5.31,1.44,6.98,0.15
lovers,1,5.83,1.35,6.8,0.51
mails,3,4.38,1.97,6.86,0.41
manufacturing,3,5.34,1.61,6.25,1.1
masons,1,3.4,1.85,6.55,1
match,1,5.57,1.42,6.84,0.48
measure,8,5.47,1.56,6.66,0.64
mechanics,2,5.29,1.52,6.23,1.12
miles,5,6.17,1.19,6.68,0.77
minds,1,5.62,1.46,6.77,0.57
muscles,1,5.97,1.14,6.39,1.15
museum,3,5.24,1.49,6.25,1.26
numbers,3,6.5,0.73,6.75,0.61
nuns,1,4.17,1.68,6.89,0.32
operators,1,4.81,1.58,6.61,0.75
opportunities,1,5.74,1.42,6.52,0.95
opportunity,7,5.48,1.49,6.55,0.98
ouster,1,1.97,1.35,5.75,1.42
outsiders,2,4.26,1.63,6.5,0.9
pair,4,5.53,1.31,6.91,0.29
palm,1,5.03,1.65,6.84,0.48
past,7,5.57,1.33,6.91,0.42
patronage,1,4.02,1.66,6.3,1.09
percentage,4,5.47,1.43,6.36,1.1
peril,1,3.12,1.5,6.27,1.28
period,11,5.88,1.33,6.68,0.67
place,3,5.52,1.35,6.73,0.79
play,4,6.24,1.19,6.95,0.21
player,3,6.02,1.15,6.77,0.64
ponies,1,3.98,1.88,6.55,0.87
praise,2,5.12,1.6,6.73,0.69
principal,4,5.07,1.54,6.59,0.79
productivity,1,5.05,1.61,6.39,0.92
promise,1,5.86,1.22,6.7,0.7
proposals,6,4.52,1.85,6.43,1.04
pun,4,3.83,1.93,6.73,0.79
pursuit,1,4.43,1.69,6.52,0.85
racing,1,5.36,1.5,6.73,0.59
racketeer,1,2.74,1.63,6.09,1.39
rail,1,4.91,1.68,6.91,0.42
reconstruction,1,4.57,1.61,6.34,1.22
reference,8,5.1,1.49,6.43,1.07
regents,1,2.84,1.62,6.02,1.23
regulation,3,4.71,1.72,6.36,0.99
renewal,2,4.43,1.68,6.41,1.02
rentals,1,4.97,1.81,6.75,0.61
reports,7,5.33,1.37,6.64,0.87
reprisals,1,3.17,1.63,5.77,1.44
requirements,2,5.62,1.32,6.27,1.3
restriction,1,4.79,1.59,6.43,0.95
retarded,1,5.29,1.65,6.5,1.02
returns,2,4.97,1.53,6.7,0.67
rioting,1,3.95,1.81,6.52,0.9
rundown,2,4.34,1.82,6.66,0.71
sacrifice,2,4.83,1.72,6.52,0.82
salary,3,5.33,1.57,6.61,0.87
scoreboards,1,4.86,1.79,6.55,0.85
sea,1,4.98,1.65,6.98,0.15
section,1,5.72,1.25,6.66,0.71
sentiment,1,4.21,1.52,6.14,1.25
series,7,5.22,1.67,6.73,0.76
show,6,5.78,1.26,6.89,0.39
size,5,5.59,1.41,6.91,0.29
skies,1,5.53,1.45,6.77,0.6
sky,2,6.29,0.9,6.84,0.48
skyjackers,1,2.36,1.41,6.2,1.32
slugger,3,4.34,1.65,6.77,0.57
spirit,12,5.14,1.79,6.73,0.59
squad,2,4.64,1.64,6.75,0.61
stakes,1,4.36,1.72,6.8,0.51
stocks,8,4.79,1.78,6.84,0.43
streams,1,4.74,1.58,6.8,0.51
strokes,7,4.59,1.72,6.7,0.59
success,4,5.57,1.34,6.48,0.95
sums,1,4.72,1.65,6.89,0.32
surge,1,3.74,1.61,6.75,0.58
survivors,1,4.6,1.89,6.41,1.17
teamsters,1,3.86,2.01,6.5,0.93
term,5,5.41,1.44,6.82,0.54
textile,11,3.53,1.95,6.36,1.06
ton,1,5.53,1.66,6.86,0.46
toss,1,5.02,1.65,6.91,0.29
training,5,5.43,1.44,6.8,0.55
tribes,4,4.19,1.72,6.57,1.15
trip,3,5.59,1.44,6.93,0.25
tv,1,6.61,1.16,6.91,0.29
upturn,2,3.02,1.62,6.61,0.84
volumes,1,4.91,1.47,6.48,0.95
walk,4,6.41,0.96,6.89,0.49
walls,1,5.79,1.24,6.8,0.59
weeks,6,6.24,1.25,6.86,0.46
welfare,5,4.6,1.83,6.7,0.7
wheat,1,4.9,1.68,6.73,0.87
witnesses,7,5.22,1.61,6.39,1.04
words,7,6.29,1.08,6.84,0.48
world,2,5.53,1.4,6.73,0.73