word_french,aoa_mean,aoa_sd,frequency_mean,frequency_sd
acte,9.419354839,2.531096919,4.357142857,1.28277147
âge,4.784204672,1.482514574,5.428571429,1.199647214
aide,5.775,1.68461599,5.071428571,1.438326482
aigle,6.457174638,1.982721058,3.214285714,1.166099635
aigre,10.625,2.374432782,3.035714286,0.881166855
ail,7.884315907,1.603088417,4.214285714,1.166099635
aile,5.498331479,1.748117267,3.821428571,0.983326607
air,6.03003337,2.061422413,4.857142857,1.325373063
aise,10.7753059,2.219173536,3.571428571,1.399168309
algue,7.885714286,2.310396294,2.928571429,0.939998874
ambre,11.5650723,2.551828356,3.071428571,1.385869734
âme,9.954393771,2.521733488,3.5,1.319371343
ample,9.957142857,2.369344446,3.714285714,1.013141168
an,4.810714286,2.276567289,4.928571429,1.438326482
ancre,8.886540601,2.81890698,3.178571429,1.389206313
âne,4.956618465,1.861321071,3.5,1.201850425
ange,6.461624027,1.94383503,4.107142857,1.39680285
angle,8.391546162,1.906976439,3.892857143,1.100144291
août,5.993325918,1.851474275,3.535714286,1.201300001
apte,10.49721913,1.85785169,3.678571429,1.278122797
arbre,3.892102336,1.607107868,4.714285714,1.181873681
arc,6.996662959,1.921021234,3.392857143,1.13330999
arche,9.276974416,2.938070466,3,0.816496581
arme,7.104560623,2.105292869,4.035714286,1.104943198
art,8.402380952,2.196130348,4.214285714,1.286889528
as,7.663095238,2.416656758,3.392857143,1.196887498
asthme,10.19911012,2.825003568,3.142857143,0.890870806
astre,10.2836485,2.472646051,2.75,0.844371342
au,5.569521691,1.690581118,6.892857143,0.314970394
aube,9.276974416,2.76265417,3.25,1.109721353
autre,5.850945495,2.181545275,6.357142857,1.223664373
aux,6.319243604,1.590969137,6.607142857,0.831744517
axe,9.958843159,2.10427113,4,1.217161239
bac,10.13809524,3.626847528,4.142857143,1.458418365
bâche,8.692857143,2.647054316,3.214285714,0.956736074
badge,9.318131257,2.692083176,4.107142857,1.13330999
bague,5.675194661,1.668815819,3.892857143,1.314852075
baie,9.744160178,3.095956433,3.464285714,1.104943198
baigne,6.438095238,2.5179813110000002,3.821428571,1.123933945
bail,13.20595238,3.883504757,3.857142857,1.325373063
bain,4.174638487,1.672034367,4.714285714,1.356933986
baisse,6.713014461,1.814517324,4.714285714,1.436486012
bal,7.640711902,2.306139538,3.678571429,0.983326607
balle,4.032258065,1.787651791,4.642857143,1.311326321
banc,5.319243604,1.50483093,4.571428571,1.03381965
bande,7.884315907,2.601901703,4.75,1.205696356
banque,8.344827586,2.921186973,4.678571429,1.188013325
bar,7.561735261,2.597351836,4.821428571,1.467009339
barbe,5.535038932,1.805010946,3.964285714,1.231745009
barque,7.107142857,2.25908129,3.357142857,1.095928009
barre,6.606229143,2.419010728,4.392857143,1.342724861
bas,5.0378198,1.680373742,5.5,1.170628195
base,8.844047619,2.189053225,4.178571429,1.492042384
basque,12.14431673,3.132147,3.285714286,1.696557361
basse,6.479761905,2.344227442,4.892857143,1.314852075
battre,6.288095238,2.164499358,4.321428571,1.218790275
baume,11.07279693,2.456518422,3.964285714,1.373887236
beau,4.497219132,1.96255265,5.214285714,1.548168401
bec,5.35483871,1.792457315,3.464285714,0.881166855
bêche,9.275862069,3.216337605,2.714285714,0.896790279
beige,6.496106785,1.926610484,3.714285714,1.410467295
bel,7.704115684,2.825764717,3.964285714,1.104943198
berge,10.70411568,2.486955214,3.714285714,1.487158435
bête,4.855394883,1.621097464,4.464285714,1.527092198
beurre,4.822024472,1.392761626,4.107142857,1.663091403
biais,12.41268076,3.781391904,4.821428571,1.467009339
bible,8.428253615,1.945493828,4.25,1.377732974
biche,5.919911012,2.071828448,3.821428571,1.611384761
bien,4.627380952,1.813423764,4.714285714,1.843047855
bière,9.27919911,2.724638676,4.25,1.294575578
bile,11.65714286,2.774265979,4.392857143,2.00627323
bille,5.710789766,1.229564133,3.928571429,1.358882205
bip,8.58452381,3.952156403,3.678571429,1.540888907
bis,9.179087875,2.625761538,3.5,1.261979632
bise,6.419354839,3.142151855,4.642857143,1.66030532
blague,6.456062291,1.978377743,4.321428571,1.415615857
blâme,11.77641824,2.862061818,3.892857143,1.499117906
blanc,5.419354839,7.367029135,5.25,1.205696356
blanche,4.56618465,1.628377384,4.25,1.377732974
blé,6.529477197,2.317302844,4.357142857,1.311326321
blême,12.35833333,2.51181118,4.178571429,1.44154165
bleu,3.81868743,1.315744198,4.285714286,1.272418021
bloc,7.529477197,2.563180148,3.642857143,1.223664373
blond,5.628571429,2.443852245,5.071428571,1.412341671
blues,11.4538376,2.672037602,3.714285714,1.242969648
boeuf,6.458286986,1.716460474,4.642857143,1.520581899
boire,3.957730812,1.892259274,4.892857143,1.571488695
bois,5.459399333,1.814517324,4.785714286,1.343217333
boîte,4.711902113,1.539445508,5.535714286,1.318869967
bol,4.319243604,1.806797202,4.678571429,1.492042384
bombe,7.707452725,2.364613679,4.357142857,1.161553421
bon,4.320355951,1.553352254,5.392857143,1.474205014
bond,7.312569522,2.279407582,3.857142857,1.078898125
bonne,6.175750834,2.586565789,5.821428571,1.415615857
borgne,10.34816463,2.426998678,3.428571429,1.259881577
borne,8.636262514,2.681277179,4.321428571,1.678923187
bosse,6.174638487,2.632305502,3.821428571,1.248808956
botte,5.42269188,2.435401978,3.821428571,1.123933945
bouc,7.278086763,2.351389431,3.821428571,1.656716329
bouche,3.854282536,1.542933946,4.285714286,1.383959506
boucle,6.563959956,2.563180148,3.642857143,1.471061237
boue,5.77753059,2.447293875,4.535714286,1.598196735
bouée,5.601779755,1.946598909,3.571428571,1.03381965
boueux,7.42269188,2.542541274,3.5,0.962250449
bougre,11.64285714,3.393706142,3.214285714,1.031257516
bouille,7.570634038,2.730551955,3.035714286,1.104943198
boule,4.892102336,2.156261201,3.607142857,1.100144291
boum,7.383141762,3.165391671,3.571428571,1.069044968
bourg,9.620238095,3.253468529,3.928571429,1.331347728
bourse,9.817575083,3.338597993,3.892857143,0.994029797
bout,6.248053393,2.574481888,3.785714286,1.44932022
box,11.43095238,3.310727947,3.928571429,1.358882205
boxe,8.13570634,2.694877658,4.142857143,1.580302027
braille,9.716351502,2.98562866,3.035714286,0.83808171
braise,8.355951057,2.385890425,3.321428571,1.156417566
branche,5.318131257,1.802029919,3.5,1.03637545
bras,4.21134594,1.707667717,4.178571429,1.306779231
brasse,6.772619048,1.920548293,3.785714286,1.315354983
brave,9.417130145,2.385439704,4.25,1.578208079
break,11.56618465,3.138727912,3.535714286,0.999338405
brèche,11.03214286,2.32453184,3.392857143,1.065947178
bref,9.03003337,2.591549543,4.75,1.755942292
brève,9.8091133,1.876087534,3.642857143,1.520581899
bride,9.494252874,2.70285381,4.428571429,1.814112811
bridge,11.76500639,2.525242026,3.178571429,1.188013325
brie,8.956349206,2.93198923,3.071428571,0.71639899
brin,7.964404894,2.960674146,3.357142857,1.471061237
brique,6.926585095,2.232217664,3.678571429,1.278122797
bris,10.9484127,2.884688644,3.357142857,1.253566341
brise,8.884315907,2.652651342,3.107142857,0.916486274
broche,8.066740823,2.143758131,2.892857143,0.875141712
bronche,9.994891443,2.559633594,3.357142857,1.061595086
bronze,9.216666667,1.700574616,3.035714286,0.63724772
brosse,5.398809524,2.018591748,4.214285714,1.52405752
brouille,10.11111111,2.693772495,3.214285714,1.343217333
brousse,12.45050056,14.29437065,4.035714286,1.452511053
bruit,4.747497219,1.423308277,4.178571429,1.492042384
brume,8.994438265,2.31079747,3.535714286,1.400585667
brun,6.952380952,2.643578209,4.821428571,1.467009339
brunch,14.60444444,2.939562151,3.107142857,1.165532328
brune,6.63403782,2.666801072,4.535714286,1.574851971
brusque,9.102335929,2.469600116,3.5,1.319371343
brut,9.852057842,2.783206165,3.928571429,1.184109962
brute,8.24137931,2.529822128,3.928571429,0.939998874
bûche,6.849833148,2.523864591,3.607142857,1.227441957
buée,7.388209121,2.048865409,4.071428571,1.08622934
buffle,8.665183537,3.05716152,2.642857143,0.678466993
bulbe,10.54171301,2.877424177,2.928571429,0.662686532
bulle,5.107897664,1.875134404,4.25,1.430488132
bus,6.392658509,1.498386229,5.642857143,1.253566341
buste,9.563959956,2.950123015,3.107142857,0.956044541
but,6.845238095,1.881549862,5.035714286,1.452511053
butte,9.323809524,2.362542951,3.071428571,1.08622934
ça,4.677419355,1.992458901,6.75,0.844371342
câble,9.744160178,2.012861869,4.071428571,1.015749
cache,5.142380423,2.291170523,4.535714286,1.477789712
cadre,7.854282536,2.667204247,4.321428571,1.278122797
cage,6.133481646,2.232217664,3.571428571,1.230133128
caille,9.667408231,3.291892942,3.142857143,1.112697281
caisse,6.426028921,1.958713644,4.428571429,1.259881577
cake,6.958843159,2.561501576,3.821428571,1.055973184
calme,5.857619577,2.140746528,5.142857143,1.177388375
calque,8.174638487,1.82456358,3.392857143,0.875141712
camp,7.625,2.542738139,3.75,1.1426091
cancre,11.52169077,14.55046834,2.928571429,0.662686532
canne,6.42269188,2.06507049,3.464285714,1.137969044
cap,9.178571429,2.690981106,3.428571429,1.199647214
cape,6.494994438,2.090428777,3.25,1.265642861
câpre,12.06878307,3.296623252,2.607142857,1.13330999
car,6.31701891,2.242310636,5.535714286,1.527092198
carpe,8.560622914,3.539941072,2.714285714,0.854493259
carte,5.959955506,1.593670275,4.678571429,1.415615857
cas,7.636262514,2.766932232,5.928571429,1.331347728
case,6.561735261,2.383184821,4.071428571,1.11980724
cash,12.23804227,1.955417069,3.607142857,1.196887498
casque,6.67185762,2.321938382,3.892857143,0.875141712
casse,6.140155729,2.379572565,4.642857143,1.44566493
cause,8.066740823,3.054346454,5.535714286,1.318869967
cave,6.847608454,2.75407811,3.571428571,0.835710894
ce,5.107897664,1.765256081,6.714285714,0.809990528
cèdre,11.15247253,2.687173137,2.821428571,1.278122797
celle,6.957730812,2.512763119,6.071428571,1.537881454
celte,11.13904338,2.822337931,2.714285714,0.896790279
cendre,7.244716352,2.385439704,3.964285714,1.400585667
cent,6.284760845,1.153768952,4.964285714,1.477789712
centre,7.062291435,1.922140384,4.75,1.377732974
cèpe,8.670745273,3.315003365,3.107142857,0.685256682
cercle,6.034482759,1.751190072,4.142857143,1.297127474
cerf,6.383759733,2.276575432,3.071428571,1.015749
certes,11.37708565,3.25510352,5.571428571,1.451144412
cesse,8.210233593,2.270900537,4.321428571,1.44154165
chaîne,7.600667408,2.617558577,4.785714286,1.286889528
chair,8.707452725,2.767320819,3.714285714,1.383959506
chaise,4.031145717,1.795454236,5.5,1.071516751
châle,9.127919911,3.456332819,3.035714286,0.922241346
chambre,3.783092325,1.716460474,5.785714286,1.133893419
champ,5.637374861,1.805010946,3.964285714,1.261455446
chance,6.429365962,1.929399037,5.071428571,1.11980724
change,6.244716352,2.314517066,5.5,1.201850425
chant,6.104560623,2.167700332,4.428571429,1.168366109
chaque,6.510714286,1.950243132,6.642857143,0.9893614
char,8.380422692,2.76265417,2.785714286,0.686221153
charge,9.404761905,2.564120248,4.321428571,1.389206313
charme,9.350389321,2.192362108,4.428571429,1.317364693
charte,12.79948914,2.732309873,2.964285714,0.922241346
chasse,6.245828699,2.109374876,3.571428571,1.103146054
chaste,12.5294772,2.775468574,2.714285714,0.937180281
chat,3.819799778,1.453952714,5.25,1.530553035
chaud,4.033370412,1.328755582,5.357142857,1.12921755
chauffe,6.328571429,2.107458021,4.714285714,1.410467295
chaume,10.60791826,2.212258726,2.75,1.040833
chauve,6.669632925,2.553092159,3.5,1
chaux,11.72286079,2.613436294,2.75,0.645497224
chef,6.389321468,1.81095828,4.464285714,1.426784597
chêne,7.561735261,3.013232466,3.285714286,1.11744228
chèque,9.27919911,2.196282294,4.785714286,0.994694923
cher,6.513904338,15.06287896,5.392857143,1.257254084
chèvre,4.993325918,1.869391253,3.75,1.1426091
chez,5.21134594,1.454692075,6.392857143,0.875141712
chic,9.240266963,2.549298871,4.142857143,1.458418365
chien,3.571746385,1.258946479,4.928571429,1.274495439
chiffre,5.206896552,1.770122406,5.428571429,1.168366109
chine,9.038314176,2.456518422,3.607142857,1.100144291
chiot,6.172413793,2.175622516,3.75,1.530553035
chips,5.604004449,1.546414514,4.142857143,1.268252975
chique,12.10217114,2.400225769,3.428571429,1.372442306
chlore,9.606229143,2.486955214,3.285714286,0.809990528
choc,7.743047831,2.218688947,4.607142857,1.286375491
choeur,10.06451613,2.578655147,3.321428571,1.123933945
choix,6.961067853,2.202149488,5.785714286,1.100745298
chope,11.06451613,3.913582634,3.714285714,1.383959506
chose,5.353726363,1.652629056,5.928571429,1.214985793
chou,5.992213571,2.15576247,3.714285714,0.937180281
chouette,6.27919911,2.467857893,4.071428571,1.303231637
christ,8.953281424,2.122080537,3.107142857,1.100144291
chrome,12.28809524,2.180372213,2.75,1.004618962
chute,6.780867631,2.627399057,4.071428571,1.331347728
cible,7.706340378,2.063507818,3.964285714,1.170063083
cidre,9.858731924,2.426998678,3.107142857,0.628890011
ciel,5.349276974,5.457361606,4.964285714,1.318869967
cierge,8.886540601,2.597351836,2.857142857,0.755928946
cil,6.637374861,2.063507818,4.142857143,1.044005311
cime,9.325,2.916658456,3.178571429,1.218790275
cinq,4.352614016,1.257237114,5.035714286,1.477789712
cintre,7.508333333,2.555363977,3.892857143,1.13330999
cire,8.562847608,2.749388984,3.321428571,1.055973184
cirque,5.245828699,2.140746528,3.285714286,1.049061057
clair,6.740823137,2.321938382,5.285714286,1.329359157
clan,9.245828699,3.293852208,3.857142857,1.380131119
claque,5.288097887,1.889415908,3.928571429,1.358882205
classe,4.921023359,1.865360526,5.464285714,1.346659595
clause,12.7753059,3.009661861,3.035714286,1.07089934
clé,5.285873192,1.465003945,6,1.154700538
clerc,12.24694105,2.841323332,2.642857143,1.12921755
clic,8,2.791613055,4.785714286,1.685606669
clip,10.41935484,2.31079747,4.714285714,1.356933986
clique,9.735714286,3.024041598,4.178571429,1.785820103
cloche,6.102335929,2.228360697,3.642857143,1.12921755
cloître,11.60280971,2.80174119,2.785714286,1.166099635
clone,12.67408231,2.942093469,3.357142857,1.061595086
clope,10.567297,2.766932232,5.75,1.294575578
cloque,9.148809524,3.052227376,3.035714286,0.999338405
clos,9.586904762,2.595531084,3.5,1.201850425
clou,6.599555061,2.07649415,3.607142857,0.994029797
clown,5.527252503,5.286420014,3.392857143,0.994029797
club,8.493882091,1.989758725,4.178571429,1.188013325
coche,9.795657727,3.301738608,3.25,1.109721353
code,8.071190211,1.931070236,4.428571429,1.230133128
coeur,5.494994438,2.18400835,5.25,1.481365736
coffre,6.13570634,2.434960422,3.785714286,0.994694923
coiffe,9.313681869,2.947935308,3.571428571,1.345185418
coin,5.492769744,2.340848114,4.428571429,1.372442306
coing,8.924450549,2.70092087,2.964285714,1.035737092
col,7.52836485,2.612624438,4.035714286,1.452511053
colle,5.706340378,1.981093431,4.571428571,1.168366109
comble,11.06785714,2.6437956,3.357142857,1.223664373
comme,5.283648498,1.606438658,6.75,0.645497224
compte,7.501668521,2.942093469,5.107142857,1.196887498
comte,9.548809524,3.045441289,3.214285714,1.066567456
cône,8.954393771,3.123962193,3.321428571,0.904866326
conte,5.419354839,2.450806319,3.571428571,1.168366109
contre,6.491698595,2.015946281,5.75,1.377732974
coq,4.209121246,1.69185271,3.285714286,0.975900073
coque,8.140155729,2.862813114,3.392857143,1.196887498
corde,5.731800766,1.724925928,4,1.088662108
corne,6.562847608,2.725033294,3.107142857,0.875141712
corps,5.529477197,1.941621094,5.178571429,1.362284884
cote,8.531289911,2.662918137,4.107142857,1.314852075
côte,7.812013348,2.378216554,4.428571429,1.259881577
cou,4.536151279,1.689944963,4.607142857,1.13330999
couche,4.958843159,2.151268693,4.464285714,1.666269794
coude,5.282758621,1.471569652,4.464285714,1.231745009
coudre,7.097886541,2.395784829,3.535714286,0.961562881
couette,6.807142857,2.895894835,5.5,1.232281834
coup,5.604004449,1.524706917,4.892857143,1.39680285
coupe,6.957730812,2.044662603,4.428571429,1.288943622
couple,8.210714286,2.482351499,5.214285714,1.19743995
cour,5.703571429,2.437494474,4.5,1.527525232
courbe,8.953281424,2.402060048,3.75,1.075828707
courge,9.918798665,3.545404416,2.857142857,0.84827868
cours,8.499443826,2.293046994,6.678571429,0.669636243
course,5.708565072,1.997310019,4.535714286,1.231745009
court,5.993325918,2.301004923,5.357142857,1.223664373
coût,9.208008899,2.639240686,4.75,1.294575578
crabe,5.816462736,1.739484536,3.285714286,1.049061057
craie,7.483870968,11.04983822,3.571428571,1.03381965
craindre,12.40934372,20.54870951,4.285714286,1.560084111
crainte,9.103448276,2.366431913,4.178571429,1.218790275
crampe,9.919047619,2.14850924,3.964285714,1.035737092
cran,9.42269188,2.839809171,3.392857143,0.994029797
crâne,7.312569522,2.542118328,4.142857143,1.078898125
crasse,7.716351502,2.836778424,3.714285714,1.242969648
crèche,7.026696329,2.642091058,3.642857143,1.061595086
crème,6.216666667,1.507071454,4.821428571,1.218790275
crêpe,4.964404894,1.538047918,3.857142857,0.890870806
crête,8.997775306,2.528971911,3.321428571,1.055973184
creux,7.552380952,2.2550072,3.892857143,1.39680285
cri,4.816462736,1.79605302,4.571428571,1.259881577
crible,12.74367816,2.344227442,3.071428571,1.214985793
crime,9.42269188,2.449050727,4.214285714,1.19743995
crique,11.70411568,2.741948134,2.857142857,0.931517508
crise,8.350389321,2.967566615,4.642857143,1.223664373
croc,7.745272525,2.551828356,3.285714286,1.329359157
croire,6.278086763,2.421232246,5.357142857,1.471061237
croître,11.03448276,2.620432534,3.678571429,1.467009339
croix,5.815350389,2.259032051,3.142857143,1.297127474
crosse,11.11401099,2.781980947,2.75,1.075828707
croupe,10.03703704,3.807699502,3.321428571,1.248808956
croûte,6.493882091,2.468293564,3.392857143,0.737326789
cru,7.108333333,2.092405534,4.392857143,1.448863813
cruche,8.477380952,2.281610643,3.428571429,1.372442306
crue,9.955952381,3.036369581,3.321428571,1.020296668
crypte,11.67519466,2.377312117,2.535714286,0.881166855
cube,5.17352614,2.639240686,3.75,0.751541625
cuir,8.424916574,2.481761428,4.142857143,1.112697281
cuisse,5.248053393,2.088370255,4.785714286,1.370513363
cuit,6.208008899,2.258079877,5.142857143,1.508354161
cuivre,10.17797553,1.984889152,3.142857143,0.890870806
culte,10.81646274,2.508480241,3.821428571,1.188013325
cure,9.547619048,3.122038827,3.464285714,0.961562881
cuve,9.779755284,2.108355115,3.178571429,1.055973184
cycle,10.10119048,2.335384977,3.857142857,1.268252975
cygne,6.216666667,2.14850924,3.071428571,1.015749
daim,9.498331479,2.975888771,2.892857143,1.13330999
dalle,10.70856507,2.907905428,3.678571429,1.492042384
dame,5.176863181,2.061422413,4.642857143,1.520581899
dans,4.887652948,1.94880719,6.75,0.645497224
danse,5.209121246,1.82456358,4.5,1.170628195
date,5.998887653,1.42557289,5.75,1.205696356
datte,9.345939933,3.209193782,3,0.981306763
de,4.816462736,1.92158089,6.892857143,0.56694671
dé,5.427141268,1.646762872,4.428571429,1.619981057
dent,4.06785317,1.622423516,5.357142857,1.339272487
des,4.644048943,1.557500065,6.928571429,0.377964473
dès,8.165739711,2.495587504,6.214285714,1.257780021
dette,10.47738095,2.235810943,3.571428571,1.103146054
deuil,10.25238095,2.531638877,3.035714286,0.792658109
deux,3.639599555,1.178663358,5.857142857,1.325373063
diable,7.314794216,1.99569429,3.357142857,1.026114055
diète,11.38375973,2.539579171,3.535714286,1.07089934
dieu,7.282536151,1.661713069,4,1.387777333
digne,10.44404762,2.079179768,3.75,1.350582865
dinde,6.846496107,2.540849066,3.892857143,1.342724861
diode,12.81646274,1.85089342,2.75,0.967049733
dire,4.663095238,2.045741301,6.321428571,0.904866326
disque,7.204671858,2.293984654,5,1.539600718
dit,4.355951057,1.535949148,6.642857143,0.678466993
dix,4.352614016,1.430843048,5.392857143,1.547741143
do,7.75083426,2.108865057,3.5,1.503083251
dogme,14.9010989,3.023715784,2.964285714,0.961562881
doigt,3.711902113,1.450250256,5.678571429,0.944911183
