word_finnish,familiar_mean_english,familiar_sd_english,valence_mean_english,valence_sd_english,emotionalcharge_mean_english,emotionalcharge_sd_english,offensiveness_mean_english,offensiveness_sd_english,concrete_mean_english,concrete_sd_english
solvaus,3.42,2.6,0.69,0.81,5.19,2.93,2.36,2.92,4.21,2.99
hyvŠksyntŠ,2.75,2.24,6.58,1.71,3.88,2.74,0.2,0.36,5.53,2.85
onnettomuus,4.51,2.26,1.65,1.24,3.71,2.65,0.52,1.17,2.4,2.21
sŠrky,4.79,2.37,2.04,1.49,2.6,2.54,0.25,0.33,3.59,3.25
saavutus,3.71,2.36,7.49,1.29,5.04,2.69,0.32,0.85,5.4,2.99
seikkailu,2.91,2.21,6.16,1.86,3.3,2.71,0.22,0.44,4.55,3.06
hellyys,3.69,2.39,7.61,1.25,5.69,2.78,0.2,0.27,5.68,2.96
tuska,2.33,2.12,0.76,0.78,5.15,2.81,0.73,1.17,5.11,3.11
sovinto,3.68,2.37,6.51,1.56,2.84,2.52,0.22,0.42,5.06,2.7
kuja,2.45,2.24,3.5,1.43,0.77,1.17,0.22,0.4,0.86,1.7
kiukku,4.11,2.55,1.15,1.03,6.25,2.49,1.16,2.01,5.91,3.21
ahdistus,2.82,2.39,1.59,1.51,4.74,2.88,0.39,0.67,6.17,2.84
laite,2.4,2.21,4.26,1.28,0.72,1.15,0.15,0.14,1.03,2.03
armeija,3.38,2.52,3.46,2.18,2.18,2.35,0.32,0.69,1.23,1.98
perse,5.34,2.73,2.15,1.73,2.06,2.4,3.29,2.66,1.99,2.44
taide,3.13,2.41,5.68,1.76,1.89,2.28,0.26,0.53,3.69,3.38
perslŠpi,4.54,2.91,1.35,1.34,3.01,2.71,5.21,2.73,3.08,3.01
vauva,4.99,2.81,6.53,1.68,4.23,2.94,0.34,0.84,0.49,0.78
tynnyri,1.51,1.74,3.8,1.61,0.62,1.04,0.22,0.52,0.56,1.16
ŠpŠrŠ,5.3,2.77,1.34,1.46,3.29,2.64,5.11,2.89,4.24,3.05
kauneus,4.1,2.59,7.26,1.64,3.9,2.65,0.39,1.17,5.58,2.84
sŠnky,7.05,2.15,6.5,1.9,2.51,2.84,0.18,0.21,0.39,0.75
olut,6.28,2.65,4.96,2.09,1.93,2.2,0.35,0.58,0.51,0.95
urpo,1.22,1.82,2.08,1.68,1.34,1.65,2.54,2.94,4.69,3.12
narttu,6.2,2.47,1.45,1.39,3.66,2.68,4.89,2.68,4.34,3
onni,1.91,1.96,6.74,2.31,3.89,3.2,0.18,0.2,6.29,2.81
kukoistus,1.72,1.77,5.93,1.75,1.78,2.22,0.18,0.2,2.17,2.64
kirja,5.69,2.84,4.82,1.89,1.06,1.52,0.23,0.4,0.72,1.52
kulho,4.01,2.96,4.13,1.46,0.53,0.67,0.2,0.2,0.54,1.02
leipŠ,5.76,2.55,4.99,1.45,0.74,1.15,0.17,0.15,0.37,0.63
veli,5.36,2.89,6.59,2,4.18,3.17,0.16,0.2,1.03,2.01
kamari,2.31,2.32,3.99,1.43,0.62,1.24,0.15,0.13,0.45,0.93
syšpŠ,3.61,2.56,0.55,0.94,5.93,2.69,1.62,2.42,1.81,2.56
auto,7.18,1.93,5.31,1.71,1.49,1.94,0.38,1.24,0.39,0.98
solu,2.14,2.09,2.53,1.84,1.12,1.59,0.3,0.69,0.91,1.41
tuoli,5.28,2.84,4.4,1.3,0.55,0.89,0.15,0.13,0.54,1.11
kyrpŠ,4.73,2.85,1.87,1.65,2.57,2.48,4.22,2.9,1.96,2.39
pylvŠs,1.86,1.8,4.05,1.52,0.6,1.06,0.14,0.13,1.45,2.3
mukavuus,3.94,2.58,7.09,1.64,3.96,2.94,0.2,0.3,5.56,2.97
tietokoneĘ,6.85,2.07,4.95,1.7,0.91,1.24,0.18,0.26,0.56,1.32
luottamus,4.44,2.43,7.05,1.59,4.34,2.79,0.23,0.42,6.29,2.84
sisŠltš,2.8,2.37,5.47,2.34,2.03,2.49,0.19,0.18,4.78,3.15
ydin,1.9,1.9,3.92,1.61,0.59,0.82,0.16,0.16,2.7,2.74
nurkka,3.38,2.5,3.96,1.46,0.43,0.56,0.16,0.2,0.69,1.17
kŠytŠvŠ,3.46,2.6,4.22,1.36,0.54,0.83,0.17,0.17,0.75,1.66
mškki,1.7,1.73,4.88,1.74,0.81,1.35,0.19,0.4,0.39,0.72
ruikku,6.13,2.6,1.7,1.33,2.27,2.29,2.63,2.41,3,3.08
rikos,4.96,2.73,0.89,0.88,3.32,2.76,1.3,2.09,3.41,2.82
pillu,3.9,3.25,0.84,1.2,4.45,3.52,7.92,1.87,4.05,3.19
pahus,4.83,2.89,2.5,1.62,2.19,2.17,1.42,2.25,5.51,3.14
vaara,3.76,2.58,1.2,1.35,5.32,2.8,0.89,1.9,4.7,2.95
kuolema,3.79,2.73,0.66,1.17,6.68,2.63,1.19,2.18,3.24,3.08
velka,4.68,2.88,1.12,1.09,3.29,2.86,0.73,1.39,2.47,2.51
masennus,3.76,2.7,1.04,1.16,5.51,2.9,0.77,1.22,5.74,2.69
halu,2.91,2.33,6.12,1.91,4.79,2.85,0.2,0.42,6.41,2.6
tuho,2.38,2.26,1.24,1.32,3.96,2.94,0.69,1.07,2.99,2.63
mulkku,4.81,2.89,1.87,1.6,2.51,2.36,4.46,2.78,1.91,2.34
pettymys,3.53,2.39,1.27,1.1,4.98,2.64,0.65,1.03,6.12,2.62
vaiva,2.56,2.25,1.51,1.27,3.87,2.59,0.52,1.02,5.24,3.09
lŠŠkŠri,3.94,2.47,5.67,2.15,1.88,2.1,0.42,1.36,1.19,2.28
ovi,5.58,2.72,4.22,1.32,0.64,1.07,0.16,0.17,0.32,0.52
uni,4.79,2.51,6.5,1.76,3.93,2.69,0.36,1.06,5.66,3.15
hissi,2.12,2.12,4.12,1.45,0.83,1.52,0.14,0.12,0.51,1.14
moottori,2.72,2.22,4.05,1.45,0.63,0.98,0.18,0.26,0.53,1.12
nautinto,3.9,2.63,7.39,1.48,5.23,2.77,0.21,0.26,6.53,2.42
liikunta,5.28,2.3,6.27,1.84,2.39,2.47,0.16,0.14,1.96,2.28
kangas,2.22,2.12,4.32,1.47,0.52,0.85,0.16,0.14,0.41,0.69
hintti,2.5,2.49,1.16,1.19,2.8,2.71,5.45,2.8,5.05,3.32
perhe,6.42,2.41,7.7,1.29,5.61,3.19,0.47,1.55,1.64,2.07
pieru,4.12,2.78,2.32,1.6,1.15,1.6,2.06,2.27,2.39,2.78
isŠ,4.67,2.92,6.48,2.36,4.65,3.09,0.21,0.28,1.25,2.04
pelko,3.53,2.46,1.13,1.3,5.89,2.48,0.47,0.77,6.29,2.86
kenttŠ,3.16,2.52,4.46,1.63,0.7,1.19,0.15,0.18,0.6,1.29
saasta,3.39,2.55,1.26,1.06,2.23,2.16,1.97,2.33,3.48,2.63
lippu,1.92,1.93,4.15,1.58,0.94,1.5,0.3,1.05,0.79,1.66
ruoka,7.88,1.67,6.43,1.76,2.72,2.78,0.28,0.91,0.87,1.46
tuoksu,2.81,2.14,5.52,1.91,1.28,1.82,0.13,0.1,2.32,2.61
petos,2.63,2.19,1.35,1.19,2.32,2.22,1.01,1.93,3.6,2.97
vapaus,3.72,2.45,7.58,1.76,5.24,2.85,0.25,0.41,6.22,3.03
ystŠvŠ,7.18,1.97,7.92,1.2,5.36,2.96,0.32,1.21,2.61,2.68
vittu,6.77,2.55,1.65,1.73,3.76,2.82,5.69,3.05,4.78,2.86
hautajaiset,2.35,2.14,0.86,0.97,5.7,3.11,1.09,1.98,1.58,2
lahja,3.37,2.38,6.72,1.98,3.25,2.69,0.16,0.15,1.45,2
typerys,2.99,2.5,1.83,1.48,1.84,1.93,3.41,2.64,4.57,3.06
lasi,5.2,2.81,4.07,1.37,0.71,1.02,0.21,0.33,0.75,1.71
kunnia,2.13,1.95,6.75,1.91,4.18,2.86,0.31,0.66,6.32,2.22
hauta,1.83,1.65,1.17,1.26,3.69,2.93,0.52,0.92,1.16,1.94
murhe,2.63,2.21,1.19,1.45,5.46,2.89,0.66,1.37,5.8,2.93
syyllisyys,3.43,2.37,1.29,1.25,4.86,2.9,0.63,1.24,6.11,2.78
tapa,3.54,2.51,3.64,1.71,1.34,1.64,0.47,1.14,4.1,3.21
vasara,2.02,2.05,3.6,1.55,0.77,1.07,0.45,1.33,0.3,0.4
viha,5.03,2.62,0.76,1.03,6.6,2.44,2.77,2.78,6.6,2.57
helvetti,3.62,2.69,0.96,1.24,3.5,2.83,1.92,2.57,6.56,2.76
loma,5.3,2.22,6.83,2.11,3.59,2.89,0.19,0.18,2.49,2.58
rehellisyys,4.02,2.46,7.38,1.82,4.6,2.97,0.28,0.73,6,2.73
hunaja,3.06,2.6,5.5,1.62,1.8,2.12,0.2,0.22,0.77,1.3
toivo,3.98,2.47,7.07,2.1,5.1,2.77,0.19,0.42,6.85,2.28
kauhu,3.15,2.54,1.34,1.34,4.36,2.89,0.7,1.31,5.86,2.65
sairaala,3.56,2.47,3.74,2.34,2.89,2.63,0.26,0.48,0.49,0.93
panttivanki,1.9,2.03,0.9,1.01,3.51,2.77,0.79,1.48,2.43,2.68
talo,6.05,2.64,5.25,1.71,1.4,1.93,0.14,0.1,0.86,2.01
sairaus,4,2.3,1.15,0.93,3.8,2.55,0.74,1.34,2.93,2.57
parannus,3.78,2.45,6.75,1.85,2.56,2.58,0.27,0.72,5.11,2.92
teollisuus,2.33,2.07,3.75,1.75,0.77,1.19,0.2,0.25,2.2,2.93
asukas,1.54,1.67,3.85,1.6,0.77,1.2,0.44,1.24,2.21,2.33
vamma,3.22,2.34,1.51,1.23,3.31,2.49,0.34,0.52,2.02,2.27
loukkaus,3.51,2.42,1.31,1.12,4.66,2.74,1.95,2.52,5.19,2.97
yhdyntŠ,2.98,2.45,5.6,1.82,4.47,2.88,1.1,1.83,1.74,2.34
hyytelšĘ,2.23,2.2,4.79,1.78,0.68,0.97,0.2,0.24,0.57,1.03
vitsi,5.87,2.48,6.48,1.95,3.81,2.95,0.34,0.75,5.46,2.71
ilo,3.06,2.34,7.64,1.43,5.7,2.61,0.19,0.25,5.86,3.1
oikeus,2.96,2.31,6.59,1.92,4.37,2.71,0.33,0.53,5.97,2.6
pannu,5.17,2.87,4.51,1.35,0.8,1.14,0.16,0.17,0.51,1.24
suudelma,6.2,2.24,7.58,1.27,5.84,2.66,0.36,0.87,1.61,2.27
nauru,4.71,2.81,7.88,1.21,5.58,2.76,0.2,0.38,4.07,3.11
nurmikko,2.25,2.18,4.21,1.51,0.54,0.77,0.14,0.14,0.5,1.16
johtaja,3.44,2.42,5.14,1.84,2.2,2.22,0.4,0.88,3.48,3.12
pituus,3.4,2.45,4.28,1.07,0.52,0.69,0.3,0.79,3.01,3.25
taso,3.07,2.49,4.05,1.34,0.78,1.4,0.17,0.2,3.43,3.09
elŠmŠ,5.31,2.73,6.75,1.84,5.04,2.92,0.2,0.41,5.48,2.86
yksinŠisyys,3.04,2.44,1.06,0.93,5.28,3.05,0.79,1.47,6.31,2.66
hŠviŠjŠ,5.12,2.79,1.78,1.42,2.98,2.46,2.72,2.52,5.15,2.88
menetys,3.28,2.33,1.24,1.14,4.7,3.18,0.84,1.8,5.04,2.93
uskollisuus,3.03,2.42,7.19,1.46,4.61,2.94,0.23,0.35,6.29,2.3
kone,3.39,2.58,3.95,1.37,0.53,0.76,0.26,0.41,0.9,1.88
ilkeys,1.34,1.6,1.42,1.56,3.14,2.97,1.24,2.07,4.87,3.1
lŠŠke,3.95,2.58,6.02,2.02,1.74,2,0.17,0.24,0.77,1.03
maito,5.76,2.6,4.82,1.67,0.58,0.75,0.19,0.27,0.3,0.36
ihme,2.28,2.03,7.27,1.85,4.34,2.9,0.19,0.26,6.34,2.95
kurjuus,2.36,2.03,0.93,0.87,5.14,2.83,0.96,1.69,5.67,2.85
hetki,4.02,2.63,4.72,1.6,1.47,2.05,0.2,0.43,5.28,3.12
raha,7.58,1.96,6.1,2.1,3.67,2.95,0.54,1.3,0.93,1.94
sŠŠski,1.77,1.79,2.45,1.56,0.85,1.19,0.27,0.37,0.29,0.31
Šiti,5.78,2.92,7.42,1.89,5.2,3.11,0.25,0.79,1.07,1.96
murhaaja,2.88,2.46,0.59,1.35,5.49,2.71,2.79,3.03,2.53,2.87
sieni,2.89,2.51,4.07,1.59,0.62,0.84,0.34,1.22,0.42,0.84
musiikki,7.29,2.13,6.8,1.82,3.85,3.08,0.2,0.26,3.42,3.05
luonto,3.42,2.59,6.19,1.89,1.88,2.07,0.19,0.33,2.8,2.79
painajainen,3.56,2.3,1.37,1.1,4.47,2.71,0.63,1.13,5.29,2.92
kulli,4.11,2.98,2.03,1.72,2.04,2.23,3.89,2.34,3.09,3
toimisto,3.86,2.66,4.13,1.73,0.78,1.26,0.15,0.12,0.62,1.31
mielipide,5.02,2.59,5.3,1.73,3.04,2.57,0.46,1.24,6.61,2.45
kipu,4.43,2.44,1.13,1.18,5.44,2.51,0.75,1.14,4.13,3.2
osa,4.14,2.93,3.74,1.67,0.69,1.11,0.18,0.23,2.88,3.1
rauha,3.28,2.47,7.48,1.71,4.69,2.68,0.19,0.23,6.44,2.62
tŠydellisyys,3.11,2.37,6.48,2.02,3.52,2.71,0.24,0.28,5.85,2.91
vaihe,2.47,2.17,4.02,1.37,0.64,1.05,0.21,0.54,4.42,3.09
tyyny,4.54,2.5,5.2,1.9,0.96,1.57,0.18,0.19,0.36,0.47
kusi,5.05,2.82,1.83,1.55,1.71,2.17,3.14,2.35,1.78,2.42
myrkky,1.59,1.63,1.12,1.09,2.31,2.33,0.68,1.43,1.15,1.64
saaste,3.53,2.53,1.47,1.28,2.32,2.28,0.73,1.25,2.84,2.8
kšyhyys,3.1,2.62,1.08,1.42,3.97,2.85,0.96,1.68,3.44,2.94
kusipŠŠ,4.63,2.94,1.39,1.16,2.77,2.55,4.92,2.74,4.25,3.04
yksityisyys,3.54,2.46,5.71,1.75,2.84,2.48,0.38,0.93,5.14,2.87
tuotto,3.39,2.46,6.53,1.74,2.22,2.33,0.28,0.46,2.73,2.85
rangaistus,3.4,2.41,1.76,1.87,3.92,2.61,0.73,1.36,3.87,3.05
visva,1.25,1.62,1.66,1.4,1.02,1.43,1.7,2.01,0.84,1.52
pimppi,3.47,2.77,2.4,2.2,2.47,2.64,4.86,2.97,2.3,2.66
riita,1.77,1.84,1.99,1.28,3.32,2.65,0.6,1.18,3.53,2.83
raivo,2.59,2.31,0.95,0.82,5.76,3,0.95,1.67,5.56,3.07
raiskaus,2.84,2.54,0.27,0.34,6.6,2.38,4.64,3.21,2.66,2.92
todellisuus,3.63,2.56,4.81,1.72,2.87,2.76,0.4,0.97,6.36,2.82
kunnioitus,4.54,2.3,7.21,1.68,5.08,2.76,0.39,0.94,6.06,2.87
palkkio,3.19,2.3,7.01,1.69,3.67,2.73,0.22,0.24,3.62,2.62
pilkka,1.66,1.76,1.52,1.29,3.38,2.67,1.08,1.73,5.25,3
reitti,3.08,2.31,4.32,1.21,0.54,0.69,0.17,0.17,2.16,2.63
kivekset,1.5,1.95,2.74,1.74,1.19,1.68,2.41,2.59,0.81,1.31
turvallisuus,3.73,2.38,6.02,2,2.72,2.64,0.25,0.65,3.5,2.76
itsekkyys,3.27,2.31,1.34,1.21,4.04,2.71,1.02,1.49,6.31,2.44
pano,5.3,2.72,4.08,2.46,3.91,3.01,2.88,2.72,2.75,2.85
paska,6.86,2.43,1.46,1.53,2.51,2.37,4.12,2.7,2.65,2.85
sisko,5.48,2.68,6.32,2.19,4.34,3.09,0.25,0.62,0.91,1.59
koko,4.46,2.57,4.18,1.18,1.43,2.08,0.53,1.46,2.49,2.6
hutsu,3.51,2.68,1.35,1.37,3.03,2.49,5.04,2.7,4.89,2.79
teurastus,1.47,1.66,0.58,0.77,4.81,2.92,1.98,2.48,2.84,2.74
lima,1.22,1.35,2.14,1.52,1.06,1.4,0.77,1.24,1.22,1.87
lutka,4.34,2.89,1.07,1.1,3.56,2.6,5.63,2.71,4.29,3.01
kŠŠrme,2.04,2.04,3.17,1.94,1.86,2.2,0.49,0.95,0.35,0.5
lumi,2.45,1.98,5.74,1.63,2.23,2.53,0.16,0.13,0.57,1.19
hŠmŠhŠkki,3.92,2.37,2.71,1.61,2.02,2.63,0.58,1.4,0.3,0.44
urheilu,5.88,2.42,5.76,1.89,2.32,2.57,0.21,0.26,1.94,2.38
suihke,3.14,2.38,4.09,1.41,0.61,0.79,0.25,0.41,1.09,1.75
aukio,2.44,2.31,4.04,1.4,0.54,0.85,0.19,0.16,0.84,1.87
patsas,1.73,1.77,3.9,1.61,0.76,1.08,0.2,0.32,0.67,1.2
lšyhkŠ,1.86,1.72,1.52,1.39,1.77,2.04,1.71,2.17,2.28,2.82
katu,4.87,2.73,4.13,1.23,0.72,1.05,0.2,0.3,0.65,1.26
itsemurha,2.64,2.41,0.44,0.5,5.75,2.92,1.9,2.58,3.21,2.91
suo,1.37,1.85,2.61,1.58,0.85,1.35,0.42,0.85,1.2,1.86
pšytŠ,5.21,2.86,4.3,1.21,0.42,0.59,0.26,0.79,0.43,1.06
elŠmys,2.75,2.14,6.2,2.34,5.23,2.69,0.3,0.69,5.88,2.8
aika,7.18,2.29,4.74,1.42,1.9,2.42,0.21,0.43,5.08,3.23
tissi,4,2.89,2.64,2.12,2.17,2.39,3.33,2.69,1.66,2.01
kidutus,1.8,1.84,0.73,1.17,5.13,2.91,1.97,2.5,3.19,2.87
roska,2.21,2.35,2.03,1.55,1.2,1.68,1.36,2.09,0.9,1.46
totuus,4.93,2.41,7.23,1.49,4.85,2.9,0.43,1.04,5.73,3.1
kasvain,1.92,2.04,0.6,0.67,4.45,3.01,1.11,2.05,1.26,1.88
kšntsŠ,2.24,2.43,1.79,1.52,1.12,1.58,2.91,2.41,1.38,1.89
ŠŠliš,5.44,2.82,1.48,1.22,2.97,2.55,4.76,2.71,4.68,2.84
yksikkš,2.36,2.26,3.75,1.58,0.47,0.59,0.2,0.21,1.7,2.51
virtsa,1.73,2.05,2.35,1.87,0.9,1.59,1.24,1.47,0.79,1.53
kulkuneuvo,3.48,2.46,4.52,1.61,1.01,1.53,0.16,0.16,0.56,1.12
oksennus,2.39,1.94,1.58,1.25,1.63,1.74,1.25,1.47,1,1.62
runkku,5.28,2.83,1.16,1.16,3.15,2.62,5.51,2.58,4.36,3.06
sota,4.14,2.85,0.81,1.39,5.22,2.86,1.42,2.07,3.19,2.85
lŠmpš,3.71,2.56,6.97,1.45,3.64,2.86,0.17,0.21,3.99,3.11
vesi,7.02,1.95,6.03,1.9,1.44,1.93,0.14,0.15,0.72,1.34
varallisuus,3.43,2.55,6.47,1.95,2.88,2.61,0.67,1.28,3.37,2.77
huora,3.67,2.89,0.88,0.79,3.93,2.67,5.78,2.98,4.27,3.1
viini,4.97,2.7,5.12,2.12,1.6,1.95,0.18,0.18,0.61,1.28
haava,2.11,1.95,1.51,1.18,2.74,2.54,0.32,0.56,1.37,1.92