word_spanish,translate_word_english,semantic_category,domain,aoa_subjective_mean,aoa_subjective_sd,familiar_mean,familiar_sd,manip_mean,manip_sd,typicality_mean,typicality_sd,percent_total_36,frequency_log,frequency_espal,frequency_crea,frequency_cuetosetal_2012,length,syllables,subjects
medias,stockings,Clothing,Non-Living Things,3.54,0.96,3.97,1.4,3.82,1.22,3.94,0.92,0.36,14.51,3.91,4789,2.89,6,2,38
niqui,t-shirt,Clothing,Non-Living Things,3.51,2.08,2.94,1.86,2.71,1.69,2.8,1.71,0.03,9.53,0.3,6,0,5,2,32
pantalón,pants / trousers,Clothing,Non-Living Things,2.11,1.18,4.84,0.57,4.03,1.03,4.89,0.45,0.72,13.98,3.55,2336,1.54,8,3,38
pañoleta,headscarf,Clothing,Non-Living Things,4.73,2.77,2.12,1.52,2.74,2.05,1.45,1.29,0.03,8.21,1.85,56,1.36,8,4,30
pañuelo,handkerchief,Clothing,Non-Living Things,2.62,0.83,4.07,1.07,4.24,0.96,2.88,1.12,0.14,12.85,3.52,2305,2.03,7,3,38
pañuelo de cuello,neckerchief,Clothing,Non-Living Things,4.49,1.58,3.76,1.29,3.27,1.24,3.06,1.1,0.03,11.57,0,5,0,15,6,38
pelele,rompers,Clothing,Non-Living Things,5.14,2.43,1.86,1.18,2.43,1.42,1.78,1.26,0.03,10.79,2.1,122,0.85,6,3,34
pijama,pyjamas,Clothing,Non-Living Things,1.9,0.75,4.5,0.55,3.7,1.12,4.32,0.82,0.06,12.86,2.56,671,1.23,6,3,38
playero,sneakers,Clothing,Non-Living Things,4.44,2.28,2.76,1.61,2.57,1.48,2.5,1.68,0.03,11.44,1.95,81,0.85,7,3,36
sandalia,sandal,Clothing,Non-Living Things,2.97,1.3,3.82,1.21,3,1.25,3.56,1.23,0.03,11.5,2.06,59,2.09,8,3,38
saya,petticoat,Clothing,Non-Living Things,4.09,3.23,1.21,1.37,1.96,1.73,1.26,1.65,0.03,11.75,2.73,73,0,4,2,26
sombrero,hat,Clothing,Non-Living Things,2.88,1.37,3.45,1.24,2.82,1.14,3.61,1.1,0.28,13.68,3.82,3427,2.36,8,3,38
sudadera,sweatshirt,Clothing,Non-Living Things,3.76,1.5,4.24,0.92,3.68,1.36,4.11,0.9,0.03,12.71,1.68,35,1.48,8,4,38
sujetador,bra,Clothing,Non-Living Things,3.88,1.1,4.5,0.84,4.32,0.84,4.24,0.79,0.17,13.3,2.11,186,1.15,9,4,38
traje,suit,Clothing,Non-Living Things,3.64,1.07,3.82,0.98,3.22,1.49,4.51,0.63,0.11,14.61,3.99,4996,0.78,6,2,38
traje de boda,wedding dress,Clothing,Non-Living Things,3.68,1.6,3.29,1.26,3.32,1.26,3.31,1.17,0.11,14.01,0,14,0,9,5,38
trinchera,trench coat,Clothing,Non-Living Things,4.58,3.13,1.18,1.05,1.85,1.44,1.09,0.76,0.03,11.51,2.79,436,2.08,9,3,28
uniforme,uniform,Clothing,Non-Living Things,3.72,1.16,3.55,1.29,3.17,1.36,3.85,0.96,0.03,14.48,3.97,4169,1.2,8,4,38
vestido,dress,Clothing,Non-Living Things,2.4,1.24,4.44,1.1,3.4,1.25,4.64,0.79,0.39,14.68,3.98,7073,2.06,7,3,38
visera,visor,Clothing,Non-Living Things,4.74,1.58,2.61,1.33,2.95,1.15,2.22,1.06,0.11,11.55,2.64,229,1.84,6,3,38
zapatilla,slipper,Clothing,Non-Living Things,2.18,1.08,4.46,0.85,3.62,1.47,4.38,0.83,0.06,12.66,2.26,143,2.51,9,4,38
zapato,shoe,Clothing,Non-Living Things,1.87,1.34,4.89,0.36,3.63,1.06,4.52,0.56,0.56,13.77,3.02,877,0.9,6,3,38
alacena,cupboard,Furniture,Non-Living Things,5.21,1.73,2.53,1.28,2.13,1.37,2.74,1.24,0.03,11.57,2.15,177,1.87,7,4,38
aparador,sideboard,Furniture,Non-Living Things,4.74,1.44,3.21,1.25,2.82,1.32,3.32,1.07,0.22,11.64,2.39,243,1.69,8,4,38
arca,coffer,Furniture,Non-Living Things,5.4,1.49,2.36,1.27,2.83,1.47,2.4,1.08,0.03,13.8,3.15,346,2.36,4,2,38
archivador,filing cabinet,Furniture,Non-Living Things,5.11,1.17,3.62,1.26,3.77,1.14,2.68,1.2,0.03,11.19,1.72,45,1.2,10,4,38
arcón,trunk,Furniture,Non-Living Things,5.13,1.87,2.85,1.36,2.81,1.33,2.82,1.3,0.03,11.9,2.26,166,1.34,5,2,37
armario,closet,Furniture,Non-Living Things,2.61,0.91,4.68,0.7,3.02,1.16,4.74,0.48,0.53,14.39,3.21,1580,3.06,7,3,38
balda,shelf,Furniture,Non-Living Things,5.05,1.69,3.63,1.28,2.55,1.48,2.76,1.48,0.03,11.34,1.82,27,0,5,2,37
banco,bench,Furniture,Non-Living Things,3.68,1.73,4.43,0.58,2.09,1.35,3.45,1.23,0.17,10.53,4.56,9256,3.51,5,2,38
banqueta,stool,Furniture,Non-Living Things,3.76,1.63,3.59,1.12,2.54,1.36,3.54,1.02,0.11,11.41,2.46,295,1.28,8,3,38
baúl,trunk,Furniture,Non-Living Things,3.62,1.36,3.8,1.22,2.54,1.15,3.41,1.06,0.03,13.42,2.82,844,2.61,4,2,38
buró,bureau,Furniture,Non-Living Things,4.48,3.17,2.07,1.45,1.71,1.33,2.11,1.6,0.03,12.42,2.5,183,0,4,2,30
butaca,armchair,Furniture,Non-Living Things,3.93,1.46,3.64,1.2,1.98,1.17,3.89,1,0.17,13.64,2.86,863,1.3,6,3,38
butacón,large armchair,Furniture,Non-Living Things,4.51,1.95,2.93,1.45,1.99,1.18,3.11,1.4,0.06,13.63,1.36,100,0.48,7,3,37
cama,bed,Furniture,Non-Living Things,1.59,0.55,4.92,0.42,2.6,1.15,4.76,0.61,0.64,15.18,4.15,15551,3.87,4,2,38
camilla,stretcher,Furniture,Non-Living Things,4.71,1.34,2.82,1.18,2.76,1.25,2.65,1.19,0.03,13.23,2.93,783,2.5,7,3,38
cómoda,chest of drawers,Furniture,Non-Living Things,4.66,1.36,3.47,1.4,2.4,1.26,3.32,1.33,0.17,15.97,3.34,1682,2.88,6,3,38
coqueta,dressing table,Furniture,Non-Living Things,4.91,2.79,2.32,1.71,2.11,1.59,1.68,1.41,0.03,11.9,2.84,285,1.68,7,3,32
cuna,cradle,Furniture,Non-Living Things,2.29,1.5,3.23,1.24,2.61,1.27,3.05,1.09,0.03,14.41,3.52,1677,2.58,4,2,38
descalzadora,vanity stool,Furniture,Non-Living Things,6.09,1.59,1.89,0.88,2.63,1.53,1.74,0.78,0.06,9.27,0,4,0,12,5,37
escritorio,desk,Furniture,Non-Living Things,3.67,1.37,4.27,0.79,3.7,1.34,3.99,0.92,0.03,15.33,3.43,2320,3.13,10,4,38
espejo,mirror,Furniture,Non-Living Things,2.34,0.94,4.61,0.53,2.06,1.36,3.68,1.25,0.06,14.61,3.91,6684,3.07,6,3,38
estantería,bookcase,Furniture,Non-Living Things,3.96,1.31,4.31,0.69,2.66,1.3,4.32,0.84,0.03,13.27,2.37,304,1.59,10,5,38
lámpara,lamp,Furniture,Non-Living Things,2.87,1.05,4.58,0.69,2.79,1.29,3.74,1.19,0.08,13.96,3.45,1650,2.63,7,3,38
librería,bookcase,Furniture,Non-Living Things,3.75,1.47,4.16,0.83,2.93,1.27,3.87,1.09,0.03,14.96,3.28,1102,2.42,8,4,38
litera,bunk,Furniture,Non-Living Things,3.18,1.12,3.38,1.1,2.39,1.45,3.44,1.14,0.03,13.02,2.86,206,1.92,6,3,38
mecedora,rocking chair,Furniture,Non-Living Things,3.98,1.46,3.37,1.14,2.77,1.46,3.16,1.13,0.08,11.13,2.08,480,1.34,8,4,38
mesa,table,Furniture,Non-Living Things,1.87,0.86,5,0,2.57,1.17,4.97,0.19,0.78,15.76,4.49,19930,3.66,4,2,38
mesilla,night table,Furniture,Non-Living Things,3.21,1.14,4.45,0.69,2.62,1.27,4.32,0.84,0.31,11.47,2.37,399,1.11,7,3,38
mueble-bar,liquor cabinet,Furniture,Non-Living Things,4.94,1.62,3.18,1.19,2.55,1.53,3.34,1.18,0.03,10.71,0,61,0,9,3,38
mural,mural,Furniture,Non-Living Things,5.84,1.71,2.24,1.14,2.08,1.17,2.05,1.28,0.03,13.97,3.05,753,2.02,5,2,38
perchero,coat stand,Furniture,Non-Living Things,3.81,1.13,3.86,0.84,2.77,1.09,3.16,0.96,0.03,11.55,1.83,152,0.48,8,3,38
reloj de pared,wall clock,Furniture,Non-Living Things,3.74,1.42,3.37,1.17,2.02,1.06,2.4,1.03,0.03,13.58,0,83,0,12,5,38
sifonier,chest of drawers / bureau,Furniture,Non-Living Things,5.59,1.93,3.41,1.5,2.76,1.7,3.03,1.51,0.06,11.03,0,1,0,9,3,37
silla,chair,Furniture,Non-Living Things,1.83,0.99,4.84,0.63,3.76,1.07,4.82,0.52,0.81,14.79,3.88,5676,2.64,5,2,38
sillón,armchair,Furniture,Non-Living Things,2.7,0.88,4.72,0.72,2.27,1.37,4.7,0.53,0.33,13.71,3.42,2990,1.52,6,2,38
sofá,sofa,Furniture,Non-Living Things,2.17,1.03,4.82,0.59,3.51,1.39,4.74,0.6,0.31,12.43,3.27,2091,1,4,2,38
somier,mattress base,Furniture,Non-Living Things,5.16,1.36,3.5,1.2,2.47,1.65,3.05,1.21,0.03,12.01,1.56,77,0,6,2,38
taburete,stool,Furniture,Non-Living Things,3.53,1.16,4.06,0.81,2.48,1.31,3.59,0.88,0.28,11.7,2.58,392,0.85,8,4,38
taquillón,wooden cabinet,Furniture,Non-Living Things,5.17,2.42,2.26,1.52,1.9,1.44,2.23,1.25,0.03,9.46,0,6,0,9,3,34
tresillo,three-seat sofa,Furniture,Non-Living Things,4.45,2.2,3.31,1.52,1.75,1.26,3.35,1.69,0.03,10.72,2.09,148,0,8,3,35
vitrina,glass cabinet,Furniture,Non-Living Things,4.82,1.73,3.51,1.1,2.56,1.16,3.35,1.16,0.03,12.88,2.5,371,1.04,7,3,38
zapatero,shoe rack,Furniture,Non-Living Things,4.56,1.39,3.62,1.04,2.69,1.17,3.39,1.19,0.03,14.08,4.13,238,0.6,8,4,38
aceitera,oilcan,Kitchen Utensils,Non-Living Things,4.6,1.21,3.92,1.09,4,1.06,3.76,1.16,0.03,10.74,1.99,30,0,8,4,38
almirez,pestle,Kitchen Utensils,Non-Living Things,3.24,2.97,1.45,1.52,2.07,2.15,1.08,1.17,0.06,11.02,1.88,29,0,7,3,22
asador,spit,Kitchen Utensils,Non-Living Things,5.05,1.63,3.03,1.32,2.86,1.73,2.97,1.32,0.03,13.9,2.5,128,1.58,6,3,38
azucarero,sugar bowl,Kitchen Utensils,Non-Living Things,3.32,1.33,4.59,0.7,4.09,0.96,3.76,1.06,0.03,10.74,2.67,264,0,9,5,38
balde,pail,Kitchen Utensils,Non-Living Things,4.5,2.6,2.07,1.56,3.05,1.75,1.92,1.55,0.03,11.45,2.98,682,2.38,5,2,33
bandeja,tray,Kitchen Utensils,Non-Living Things,3.35,1.13,4.27,0.84,4.51,0.63,3.65,1.1,0.22,14.19,3.07,1598,2.48,7,3,38
batidora,mixer,Kitchen Utensils,Non-Living Things,4.01,1.23,4.44,0.64,4.58,0.79,4.36,0.92,0.08,12.88,1.96,307,1.34,8,3,38
bayeta,dishcloth,Kitchen Utensils,Non-Living Things,4.02,1.25,4.67,0.58,4.6,0.63,3.87,0.86,0.03,9.93,2.14,63,0,7,3,38
botella,bottle,Kitchen Utensils,Non-Living Things,2.13,0.9,4.61,0.62,3.92,1.25,3.44,1.3,0.03,14.36,3.68,4288,3.25,7,3,38
cacerola,pot,Kitchen Utensils,Non-Living Things,3.04,1.02,4.62,0.69,4.27,0.74,4.78,0.48,0.11,11.88,2.47,634,1.72,8,4,38
cacillo,ladle,Kitchen Utensils,Non-Living Things,4.71,1.93,3.37,1.41,3.92,1.2,3.08,1.33,0.03,8.95,0.48,12,0,7,3,37
cafetera,coffee pot,Kitchen Utensils,Non-Living Things,3.53,1.34,4.28,1.09,4.06,0.86,4.13,0.73,0.03,13.3,2.61,357,2.11,8,4,38
caldero,cauldron,Kitchen Utensils,Non-Living Things,4.39,1.66,2.66,1.17,2.63,1.54,3.06,1.21,0.03,11.81,2.66,225,1.53,7,3,38
cascanueces,nutcracker,Kitchen Utensils,Non-Living Things,4.51,1.23,3.18,1.09,3.18,1.49,2.97,1.21,0.08,11.58,2.46,19,1.48,11,4,38
cazo,dipper,Kitchen Utensils,Non-Living Things,3.71,1.37,4.32,0.97,4.16,0.96,4.32,0.72,0.47,12.14,2.41,314,1.64,4,2,38
cazuela,(kind of) sauce pan,Kitchen Utensils,Non-Living Things,3.62,1.62,4.34,0.74,4.11,0.96,4.49,0.63,0.69,12.85,2.69,1218,1.45,7,3,38
cesto,basket,Kitchen Utensils,Non-Living Things,4.04,1.54,3.16,1.29,3.34,1.17,2.69,1.47,0.03,12.24,2.77,365,2.06,5,2,38
cocina,kitchen,Kitchen Utensils,Non-Living Things,2.53,1.35,4.72,0.94,3.89,1.41,3.77,1.49,0.06,16.28,4.07,10382,3.53,6,3,38
colador,strainer,Kitchen Utensils,Non-Living Things,4.02,1.33,4.35,0.85,4.33,0.88,4.15,1.11,0.03,11.43,2.08,232,1.32,7,3,38
copa,wineglass,Kitchen Utensils,Non-Living Things,3.18,1.14,4.29,0.79,4.26,0.85,3.89,0.88,0.06,15.31,4.56,4885,3.17,4,2,38
cubierto,cutlery,Kitchen Utensils,Non-Living Things,3.03,1.41,4.68,0.67,4.41,1.16,4.6,0.63,0.06,14.35,3.85,2998,2.82,8,3,38
cubremantel,table overlay,Kitchen Utensils,Non-Living Things,5.36,1.52,3.09,1.23,3.18,1.29,2.47,1.45,0.03,8.46,0,0,0,11,4,37
cuchara,spoon,Kitchen Utensils,Non-Living Things,1.71,1,4.84,0.42,4.46,1.18,4.81,0.36,0.64,13.46,3.06,858,2.47,7,3,38
cucharilla,teaspoon,Kitchen Utensils,Non-Living Things,2.53,1.13,4.73,0.59,4.81,0.36,4.32,0.77,0.08,11.11,1.91,144,0.78,10,4,38
cucharón,ladle,Kitchen Utensils,Non-Living Things,3.95,1.37,4.13,0.78,4.51,0.8,4.21,0.94,0.17,11.24,2.16,130,1.34,8,3,38
cuchillo,knife,Kitchen Utensils,Non-Living Things,2.18,0.72,4.9,0.26,4.76,0.45,4.82,0.61,0.81,13.41,3.72,2665,3.24,8,3,38
cueceleches,milk boiling pot,Kitchen Utensils,Non-Living Things,4.68,2.87,1.82,1.2,2.92,1.91,1.66,1.29,0.08,5.2,0,0,0,11,4,32
difusor de calor,heat diffuser,Kitchen Utensils,Non-Living Things,6.24,1.99,2.04,1.09,2.87,1.66,1.66,1,0.03,10.35,0,4,0,14,7,36
ensaladera,salad bowl,Kitchen Utensils,Non-Living Things,4.23,1.04,3.97,0.96,3.52,1.5,3.77,1.04,0.03,10.46,1.84,119,1.04,10,5,38
escurreplatos,drainer,Kitchen Utensils,Non-Living Things,4.85,1.41,3.65,1.16,3.07,1.42,3.18,1.25,0.08,10.04,0,3,0,13,5,38
escurridor,colander,Kitchen Utensils,Non-Living Things,4.63,1.5,4.12,0.92,3.92,1.15,4,0.94,0.08,10.44,1.11,10,0.85,11,4,38
espumadera,skimmer,Kitchen Utensils,Non-Living Things,4.7,1.8,3.85,1.49,4.38,1.18,3.82,1.21,0.17,10.2,1.28,84,0.48,10,5,37
exprimidor,squeezer,Kitchen Utensils,Non-Living Things,4.29,1.5,4.38,0.83,4.66,0.75,3.97,0.9,0.06,11.31,1.52,19,1.43,10,4,38
fiambrera,lunchbox,Kitchen Utensils,Non-Living Things,4.34,1.5,3.86,1.14,3.61,0.98,3.39,1.2,0.03,10.44,2.28,28,1.18,9,3,38
filtro,filter,Kitchen Utensils,Non-Living Things,5.22,1.44,3.18,1.21,3.59,1.22,2.71,1.32,0.03,14.55,3.21,866,2.23,6,2,38
fuente,platter,Kitchen Utensils,Non-Living Things,4.42,1.69,3.61,1.18,3.11,1.64,3.13,1.28,0.11,16.58,4.54,12361,3.26,6,2,38
horno,oven,Kitchen Utensils,Non-Living Things,3.52,1.5,4.6,0.65,3.81,0.96,4.36,0.69,0.03,14.52,3.46,6058,2.76,5,2,38
jarra,pitcher,Kitchen Utensils,Non-Living Things,3.06,1.41,4.51,0.64,4.1,0.9,4.12,0.92,0.11,12.44,2.82,581,2.19,5,2,38
lengua,rubber spatula,Kitchen Utensils,Non-Living Things,3.33,2.84,2.68,2.08,1.95,1.8,1.45,1.11,0.03,11.52,4.57,13021,3.22,6,2,32
manga pastelera,pastry bag,Kitchen Utensils,Non-Living Things,5.47,1.85,2.74,1.42,3.04,1.79,2.57,1.46,0.03,11.25,0,11,0,14,6,36
molde,mould,Kitchen Utensils,Non-Living Things,5.15,1.46,3.19,0.86,2.97,1.47,3.32,1.2,0.03,14.23,3.16,1410,2.18,6,2,38
olla,pot,Kitchen Utensils,Non-Living Things,3.13,1.09,4.76,0.42,4,0.9,4.86,0.26,0.31,13.92,3.17,1369,1.85,4,2,38
panera,breadbasket,Kitchen Utensils,Non-Living Things,3.89,1.53,3.08,1.27,2.74,1.64,3.13,1.28,0.03,13.24,1.88,23,0,6,3,38
paño,(kitchen) cloth,Kitchen Utensils,Non-Living Things,3.53,1.07,4.39,0.64,4.2,0.79,4.06,1.01,0.06,13.21,3.25,993,1.11,5,2,38
pelador,peeler,Kitchen Utensils,Non-Living Things,5.44,1.32,3.38,1.26,3.54,1.6,3.17,1,0.03,10.46,0.78,7,0.6,7,3,38
perol,cauldron,Kitchen Utensils,Non-Living Things,4.06,2.77,2.45,1.89,3.13,1.96,2.62,1.87,0.03,10.64,1.61,87,0,5,2,30
piedra de afilar,whetstone,Kitchen Utensils,Non-Living Things,5,1.48,2.97,0.96,4.06,1.16,2.68,1.14,0.06,10.52,0,9,0,14,6,38
pincho,skewer,Kitchen Utensils,Non-Living Things,5.11,1.69,2.66,1.17,2.77,1.5,2.69,1.22,0.06,12.79,2.26,118,1.72,6,2,38
pinzas,tongs,Kitchen Utensils,Non-Living Things,4.35,1.34,3.68,1.25,4.56,0.84,3.24,1.31,0.03,13.45,2.68,408,0.78,6,2,38
plato,dish,Kitchen Utensils,Non-Living Things,1.77,0.9,4.92,0.31,4,1.12,4.7,0.6,0.64,10.18,3.76,4612,3.06,5,2,38
pocillo de café,coffee cup,Kitchen Utensils,Non-Living Things,5.26,2.92,2.07,1.76,3.05,1.79,2.08,1.76,0.03,10.15,0,22,0,13,6,32
porrón,glass wine pitcher,Kitchen Utensils,Non-Living Things,4.77,1.82,2.88,1.15,3.65,1.31,2.63,1.33,0.03,10.33,2,77,0,6,2,38
puchero,pot,Kitchen Utensils,Non-Living Things,3.76,1.48,3.22,1.25,2.82,1.73,3.36,1.27,0.36,12.01,2.73,302,1.54,7,3,38
rallador,grater,Kitchen Utensils,Non-Living Things,4.64,1.37,3.82,1.02,4.68,0.72,3.64,1,0.03,10.53,1.41,30,0.7,8,3,38
reloj de cocina,kitchen timer,Kitchen Utensils,Non-Living Things,3.38,1.23,4.16,0.83,2.21,1.21,2.49,1.24,0.03,14.18,0,2,0,13,6,38
salvamanteles,table mat,Kitchen Utensils,Non-Living Things,4.92,1.59,3.36,1.55,2.96,1.78,2.74,1.26,0.03,10.39,0,5,0,11,5,38
sartén,frying pan,Kitchen Utensils,Non-Living Things,3,1.2,4.86,0.4,4.41,0.7,4.84,0.5,0.67,13.07,2.72,1456,1.2,6,2,38
sopera,tureen,Kitchen Utensils,Non-Living Things,4.29,1.21,3.68,1.1,3.89,0.86,3.8,0.84,0.03,11.56,1.9,409,0.6,6,3,38
tabla cortar,cutting board,Kitchen Utensils,Non-Living Things,4.71,1.5,4.28,0.58,3.99,0.94,3.94,1.03,0.08,13.32,0,0,0,11,5,38
tapadera,lid,Kitchen Utensils,Non-Living Things,3.61,1.59,3.87,1.12,4.03,0.92,3.43,1.27,0.03,11.64,2.59,256,0.78,9,4,38
tarro,jar,Kitchen Utensils,Non-Living Things,3,1.28,3.95,1.12,3.42,1.66,3.7,1.21,0.03,11.91,2.4,336,1.38,5,2,38
taza,cup,Kitchen Utensils,Non-Living Things,2.43,0.9,4.71,0.42,4.43,0.62,4.26,0.85,0.17,13.82,3.28,4942,2.33,4,2,38
tazón,bowl,Kitchen Utensils,Non-Living Things,3.14,1.35,4.42,1,3.93,1.09,3.96,1.19,0.06,11.49,2.49,229,1.56,5,2,38
tenedor,fork,Kitchen Utensils,Non-Living Things,1.94,1.14,4.88,0.42,4.57,0.88,4.73,0.59,0.67,12.51,2.77,538,1.83,7,3,38
tijera,scissors,Kitchen Utensils,Non-Living Things,2.61,0.94,4.52,0.56,4.89,0.36,3.85,1.33,0.03,8.89,2.61,365,2.04,6,3,38
timbal,kettledrum,kitchen Utensils,Non-Living Things,5.05,1.42,2.92,1.3,2.99,1.71,3.31,1.31,0.06,11.53,2.25,41,0.9,6,2,38
tostador,toaster,Kitchen Utensils,Non-Living Things,3.6,1.36,4.44,0.89,4.17,0.95,4.23,0.98,0.03,11.18,1.18,28,2.03,8,3,38
trinchero,carving knife,Kitchen Utensils,Non-Living Things,6.03,1.93,2.29,1.19,3.99,1.53,2.5,1.32,0.03,8.82,0.7,2,0,9,3,36
tupper,tupperware,Kitchen Utensils,Non-Living Things,5.34,1.21,4.42,1,3.81,1.21,3.66,1.09,0.03,11.57,2.01,2,0,6,2,38
vasija,(kind of) bridge-spouted vessel,Kitchen Utensils,Non-Living Things,4.37,1.23,2.82,1.19,2.81,1.58,2.89,1.26,0.03,11.49,2.8,398,1.41,6,3,38
vaso,glass,Kitchen Utensils,Non-Living Things,1.83,0.65,5,0,4.36,0.88,4.5,0.48,0.28,13.95,3.67,5962,0.6,4,2,38
vinagrera,cruet / vinegar bottle,Kitchen Utensils,Non-Living Things,4.61,1.24,3.74,1.15,3.88,1.07,3.35,1.39,0.03,9.56,0.9,5,0,9,4,38
acordeón,accordion,Musical Instruments,Non-Living Things,3.92,1.27,2.97,1.25,3.21,1.73,3.96,1.09,0.36,12.86,2.88,339,1.65,8,4,38
armónica,harmonica,Musical Instruments,Non-Living Things,4.09,1.44,3.16,1.35,4.12,0.98,3.81,0.97,0.08,11.32,3.13,621,1.8,8,4,38
arpa,harp,Musical Instruments,Non-Living Things,4.7,1.31,2.89,1.24,4.52,1.08,3.71,1.1,0.06,12.4,3.12,452,1.74,4,2,38
bajo,bass,Musical Instruments,Non-Living Things,5.82,1.36,3.21,1.4,4.67,0.88,3.89,1.1,0.06,16.33,5.13,50692,4.02,4,2,38
bandurria,lute type (instrument),Musical Instruments,Non-Living Things,5.54,1.46,2.82,1.3,4.3,1.37,2.99,1.35,0.19,10.79,2.23,36,0,9,3,38
batería,drum set,Musical Instruments,Non-Living Things,3.83,1.24,3.52,1.06,4.82,0.7,4.35,0.87,0.03,11.24,4.03,1418,2.87,7,4,38
bocina,horn,Musical Instruments,Non-Living Things,3.89,1.41,3.05,1.3,4.03,1.04,2.29,1.34,0.03,11.53,2.54,287,2.24,6,3,38
bombo,bass drum,Musical Instruments,Non-Living Things,3.98,1.23,2.74,1.22,4.41,1.12,3.68,1.28,0.14,12.43,2.87,340,1.36,5,2,38
caja acústica,acoustic box,Musical Instruments,Non-Living Things,5.72,1.84,2.49,1.37,3.55,1.48,2.61,1.13,0.03,12.22,0,4,0,12,6,38
castañuelas,castanets,Musical Instruments,Non-Living Things,3.71,1.53,3.21,1.26,3.39,1.54,3.39,1.04,0.06,11.29,2.41,132,0.7,11,4,38
chiflo,whistle,Musical Instruments,Non-Living Things,3.55,3.08,0.97,0.94,1.95,1.69,1.03,1.36,0.06,8.99,1.28,7,0,6,2,22
chirimía,hornpipe,Musical Instruments,Non-Living Things,3.73,3.4,0.91,0.75,1.7,1.01,0.6,0.65,0.03,9.5,2.17,22,0,9,4,22
clarín,bugle,Musical Instruments,Non-Living Things,5.06,2.36,1.88,1.31,3.88,1.82,2.54,1.48,0.03,13.28,3.2,75,1.11,6,2,34
clarinete,clarinet,Musical Instruments,Non-Living Things,5,1.12,2.78,1.28,4.62,0.92,3.91,1.04,0.19,12.15,2.95,343,1.79,9,4,38
contrabajo,contrabass,Musical Instruments,Non-Living Things,5.63,1.29,2.61,1.36,4.66,0.88,3.47,1.23,0.08,11.46,2.86,202,1.04,10,4,38
corneta,cornet,Musical Instruments,Non-Living Things,4.62,1.81,2.63,1.36,4.05,0.97,3.24,1.19,0.06,11.12,2.64,183,1.4,7,3,38
cornetín,cornet,Musical Instruments,Non-Living Things,5.9,1.36,1.61,0.83,4.27,1.11,2.4,1.17,0.03,11.92,1.63,48,0,8,3,38
dulzaina,bombarde,Musical Instruments,Non-Living Things,4.68,2.88,1.63,1.37,3.68,2.15,1.78,1.44,0.06,10.78,2.12,30,0,8,3,31
fiscorno,flugelhorn,Musical Instruments,Non-Living Things,3.3,3.47,1.34,0.5,1.77,1.13,1.18,0.96,0.06,10.17,0,0,0,8,3,20
