word_english,length,familiar_mean,familiar_n,aoa_subjective_mean,aoa_subjective_n,transparency_mean,transparency_n,lmd_mean,lmd_n,imagine_mean,imagine_n,ser_mean,ser_n,familiar_z,aoa_zscore,transparency_z,lmd_zscore,imagine_zscore,ser_zscore
aboveground,11,5.86,14,3.93,15,6.2,15,4,15,3.9,21,2.47,15,-0.03,-0.56,1.39,-0.75,-0.3,-0.44
airbase,7,5.21,14,5.47,15,4.27,15,5.87,15,3.81,21,2.33,15,-0.61,0.75,-0.22,0.56,-0.36,-0.56
airborne,8,6.5,14,5.47,15,3.86,14,3.13,15,4.1,21,3.93,15,0.55,0.75,-0.56,-1.35,-0.17,0.97
aircraft,8,6.86,14,3.93,15,4.53,15,4.27,15,5.86,21,3.67,15,0.88,-0.56,0,-0.56,0.98,0.72
airfield,8,4.36,14,5.13,15,4.33,15,5.71,14,3.86,21,2.53,15,-1.39,0.46,-0.16,0.45,-0.33,-0.37
airflow,7,6.21,14,4.53,15,6,13,4.87,15,3.86,21,3.8,15,0.29,-0.05,1.23,-0.14,-0.33,0.85
airlift,7,4.86,14,5.8,15,5.33,15,5.53,15,4.29,21,2.73,15,-0.94,1.03,0.67,0.32,-0.05,-0.18
airline,7,6.71,14,4,15,3.07,14,3.33,15,4.71,21,3.6,15,0.75,-0.5,-1.22,-1.21,0.23,0.65
airmail,7,5,14,5.6,15,5.4,15,6.71,14,3.95,21,1.87,15,-0.81,0.86,0.73,1.15,-0.27,-1.01
airplane,8,6.93,14,1.93,15,5.73,15,5.6,15,6.76,21,4.2,15,0.94,-2.27,1,0.37,1.57,1.23
airport,7,6.93,14,2.6,15,4.21,14,5.27,15,6.33,21,4.8,15,0.94,-1.7,-0.26,0.14,1.29,1.81
airsick,7,3.43,14,5.07,14,4.42,12,6.47,15,3.71,21,3.93,15,-2.24,0.41,-0.09,0.98,-0.42,0.97
airspace,8,4.21,14,5.33,15,5.54,13,4.86,14,3.9,21,2.87,15,-1.52,0.64,0.84,-0.15,-0.3,-0.05
airstrip,8,4.71,14,5.13,15,3.62,13,5.6,15,4.57,21,3.67,15,-1.07,0.46,-0.76,0.37,0.14,0.72
airtight,8,6.5,14,5.13,15,5,15,5.07,15,3.9,21,2.53,15,0.55,0.46,0.39,0,-0.3,-0.37
alongside,9,6.43,14,4.53,15,5.57,14,4.67,15,4.1,21,2.6,15,0.49,-0.05,0.87,-0.28,-0.17,-0.31
anchorman,9,6.57,14,5.8,15,3.27,15,6.4,15,5.05,21,2.47,15,0.62,1.03,-1.05,0.93,0.45,-0.44
awesome,7,7,14,3.2,15,3.21,14,2.53,15,2.19,21,2.57,14,1.01,-1.19,-1.1,-1.77,-1.42,-0.34
awestruck,9,5.93,14,6.2,15,5,15,3.27,15,3.05,21,2.93,15,0.04,1.38,0.39,-1.26,-0.86,0.01
backache,8,6.36,14,3.33,15,6.43,14,5.2,15,4.14,21,5.2,15,0.42,-1.07,1.58,0.09,-0.14,2.19
backbone,8,6.29,14,3.4,15,6.29,14,4.73,15,4.9,21,3.4,15,0.36,-1.02,1.46,-0.24,0.36,0.46
backdrop,8,6.21,14,5,15,3.46,13,3.13,15,4.38,21,2.33,15,0.29,0.35,-0.89,-1.35,0.01,-0.56
backfire,8,6.5,14,4.6,15,3.64,14,4.36,14,3.71,21,2.73,15,0.55,0.01,-0.74,-0.5,-0.42,-0.18
background,10,6.64,14,3.47,15,3.5,14,3.6,15,3.81,21,2.27,15,0.68,-0.96,-0.86,-1.03,-0.36,-0.63
backhand,8,6.43,14,4.87,15,4.86,14,5.07,15,4.9,21,3.47,15,0.49,0.24,0.27,0,0.36,0.53
backlash,8,6,14,5.67,15,3.71,14,6,15,2.52,21,3.07,15,0.1,0.92,-0.68,0.65,-1.2,0.14
backless,8,5.5,14,5.6,15,3.64,14,3.07,15,4.29,21,3.67,15,-0.35,0.86,-0.74,-1.4,-0.05,0.72
backlog,7,3.57,14,6.47,15,2.91,11,4.8,15,1.95,21,1.73,15,-2.11,1.6,-1.35,-0.19,-1.57,-1.14
backpack,8,7,14,2.2,15,6,14,5.33,15,6.81,21,4.6,15,1.01,-2.04,1.23,0.18,1.6,1.62
backseat,8,6.57,14,2.6,15,6.07,14,6.4,15,6.43,21,3.6,15,0.62,-1.7,1.28,0.93,1.35,0.65
backside,8,6.79,14,3.4,15,5.13,15,3.8,15,4.81,21,2.4,15,0.81,-1.02,0.5,-0.89,0.29,-0.5
backslide,9,4.29,14,5.8,15,3.33,15,4.75,12,2.33,21,1.6,15,-1.46,1.03,-1,-0.22,-1.32,-1.27
backstage,9,6.71,14,4.27,15,5.71,14,5.53,15,5.86,21,4.2,15,0.75,-0.28,0.99,0.32,0.98,1.23
backstroke,10,6.71,14,3.47,15,4.93,15,6.33,15,6.24,21,3.73,15,0.75,-0.96,0.34,0.88,1.23,0.78
backtrack,9,6.21,14,4.4,15,5.07,14,3.67,15,3.43,21,2.13,15,0.29,-0.16,0.45,-0.98,-0.61,-0.76
backup,6,6.79,14,4.07,15,3.73,15,4.2,15,3.29,21,2.67,15,0.81,-0.45,-0.66,-0.61,-0.7,-0.24
backwash,8,6.43,14,4.6,15,3.5,14,5.2,15,4.86,21,3.93,15,0.49,0.01,-0.86,0.09,0.32,0.97
backwater,9,4.71,14,5.6,15,3.27,11,5.92,12,2.52,21,2.8,15,-1.07,0.86,-1.05,0.59,-1.2,-0.12
backyard,8,7,14,2.07,15,5.8,15,5.67,15,6.14,21,3.33,15,1.01,-2.16,1.06,0.42,1.17,0.4
bagpipe,7,6.64,14,4.4,15,4.46,13,5.93,15,6.52,21,4.87,15,0.68,-0.16,-0.06,0.6,1.41,1.87
banknote,8,5.14,14,5.87,15,5,15,5.4,15,5.1,21,2.07,15,-0.68,1.09,0.39,0.23,0.48,-0.82
bankroll,8,4.86,14,6.6,15,3.53,15,3.86,14,3.38,21,1.87,15,-0.94,1.72,-0.83,-0.85,-0.64,-1.01
basketball,10,7,14,2.33,15,5.64,14,6.27,15,6.95,21,4.73,15,1.01,-1.93,0.93,0.84,1.69,1.74
batman,6,6.93,14,2.6,15,4.86,14,5.67,15,6.86,21,4.53,15,0.94,-1.7,0.27,0.42,1.63,1.55
bearskin,8,5,14,4.6,15,6.2,15,5.13,15,5.14,21,3.07,15,-0.81,0.01,1.39,0.04,0.51,0.14
beefsteak,9,5.5,14,5.53,15,5.8,15,5.36,14,5.9,21,3.07,15,-0.35,0.81,1.06,0.2,1.01,0.14
beehive,7,6.86,14,3,15,5.6,15,5.87,15,6.43,21,3.6,15,0.88,-1.36,0.89,0.56,1.35,0.65
beeline,7,4.79,14,5.27,15,3.21,14,6.93,14,2.57,21,1.4,15,-1,0.58,-1.1,1.3,-1.17,-1.46
beetroot,8,4.14,14,6.27,15,5.36,11,4.73,15,3.38,21,2.67,15,-1.59,1.43,0.69,-0.24,-0.64,-0.24
beforehand,10,6.71,14,4.67,15,3.6,15,2.27,15,1.43,21,1.07,15,0.75,0.07,-0.78,-1.96,-1.92,-1.78
bellboy,7,6.14,14,5.47,15,3.62,13,7,15,5.05,21,2.93,15,0.23,0.75,-0.76,1.35,0.45,0.01
bellhop,7,5.64,14,5.33,15,2.5,12,4.07,14,3.81,21,2.8,15,-0.22,0.64,-1.69,-0.7,-0.36,-0.12
bittersweet,11,6.64,14,5,15,4.93,14,4.6,15,3.62,21,4.4,15,0.68,0.35,0.33,-0.33,-0.48,1.42
blindfold,9,6.71,14,2.8,15,3.93,15,2.87,15,6.57,21,3.27,15,0.75,-1.53,-0.5,-1.54,1.45,0.33
boardroom,9,5.57,14,5.73,15,4.8,15,6.33,15,5.29,21,1.93,15,-0.29,0.98,0.23,0.88,0.61,-0.95
boardwalk,9,6.64,14,3.67,15,4.4,15,6.13,15,6.24,21,2.87,15,0.68,-0.79,-0.11,0.74,1.23,-0.05
bodyguard,9,6.93,14,4.13,15,5.64,14,7.27,15,6.1,21,3.2,15,0.94,-0.39,0.93,1.54,1.13,0.27
borderline,10,6.43,14,5.27,15,5.77,13,3.53,15,4.14,21,2.73,15,0.49,0.58,1.03,-1.07,-0.14,-0.18
bottleneck,10,5.21,14,6.13,15,4.6,15,4.93,15,5.05,21,2.4,15,-0.61,1.32,0.06,-0.1,0.45,-0.5
boyfriend,9,7,14,3.6,15,5.73,15,4.4,15,4.9,21,3.07,15,1.01,-0.85,1,-0.47,0.36,0.14
boyhood,7,6.64,14,4.67,15,3.64,14,1.87,15,3.38,21,2.73,15,0.68,0.07,-0.74,-2.24,-0.64,-0.18
briefcase,9,6.93,14,3.67,15,3.93,15,7.07,15,6.14,21,1.8,15,0.94,-0.79,-0.5,1.4,1.17,-1.08
broomstick,10,6.64,14,3.13,15,6.2,15,4,15,6.1,21,2.73,15,0.68,-1.25,1.39,-0.75,1.13,-0.18
brotherhood,11,6.93,14,4.27,15,4,15,2,15,3.29,21,2.53,15,0.94,-0.28,-0.44,-2.15,-0.7,-0.37
brownstone,10,4.79,14,5.2,15,4.09,11,5.93,15,4.76,21,3.87,15,-1,0.52,-0.37,0.6,0.26,0.91
bulletproof,11,6.79,14,4.8,15,5.53,15,4.73,15,4.14,21,3.2,15,0.81,0.18,0.84,-0.24,-0.14,0.27
bumpkin,7,3.71,14,6,15,1.6,10,6.17,12,2.81,21,2.8,15,-1.98,1.21,-2.44,0.77,-1.01,-0.12
businesslike,12,5.57,14,5.27,15,5,13,2.33,15,4.62,21,3.27,15,-0.29,0.58,0.39,-1.91,0.17,0.33
businessman,11,6.86,14,3.93,15,5.86,14,3.53,15,5.9,21,3.93,15,0.88,-0.56,1.11,-1.07,1.01,0.97
busybody,8,4.36,14,4.67,15,4,13,3.2,15,3.33,21,2.87,15,-1.39,0.07,-0.44,-1.31,-0.67,-0.05
buttonhole,10,5.79,14,3.73,15,5.64,14,4.73,15,6.05,21,2.6,15,-0.09,-0.73,0.93,-0.24,1.1,-0.31
calfskin,8,3.86,14,5.67,15,5.17,12,5.67,15,3.48,21,2.93,15,-1.85,0.92,0.53,0.42,-0.58,0.01
campfire,8,7,14,2.93,15,5.93,14,6.67,15,6.76,21,5.47,15,1.01,-1.42,1.17,1.12,1.57,2.45
campground,10,6.79,14,3.73,15,5.57,14,3.8,15,6.19,21,4.33,15,0.81,-0.73,0.87,-0.89,1.2,1.36
campsite,8,6.86,14,3.2,15,5.86,14,3.87,15,6.05,21,4.8,15,0.88,-1.19,1.11,-0.84,1.1,1.81
cannonball,10,6.43,14,3.2,15,6.27,15,5.07,15,5.95,21,4.07,15,0.49,-1.19,1.45,0,1.04,1.1
carefree,8,6.79,14,4.73,15,5.6,15,5.8,15,2.95,21,1.93,15,0.81,0.12,0.89,0.51,-0.92,-0.95
carryall,8,3.71,14,6.27,15,4.62,13,4,12,2.62,21,1.27,15,-1.98,1.43,0.07,-0.75,-1.14,-1.59
carryout,8,5.86,14,5.2,15,4.6,15,5,15,3.38,21,1.93,15,-0.03,0.52,0.06,-0.05,-0.64,-0.95
cartwheel,9,6.86,14,2.87,15,3.07,14,7.2,15,6.62,21,3.53,15,0.88,-1.47,-1.22,1.49,1.48,0.59
castaway,8,6.21,14,5.53,15,4.5,14,5.2,15,4.48,21,3,15,0.29,0.81,-0.03,0.09,0.08,0.08
castoff,7,5,14,5.4,15,4.33,15,4.93,14,2.19,21,1.47,15,-0.81,0.69,-0.16,-0.1,-1.42,-1.4
censorship,10,6.57,14,6.27,15,3.07,15,2.13,15,3.1,21,2,15,0.62,1.43,-1.22,-2.05,-0.83,-0.88
chamberlain,11,3.43,14,6.4,15,2.89,9,3.56,9,2.29,21,1.67,15,-2.24,1.55,-1.37,-1.06,-1.36,-1.21
chambermaid,11,4.36,14,6.13,15,5.08,13,7.13,15,3.86,21,2.47,15,-1.39,1.32,0.46,1.44,-0.33,-0.44
cheapskate,10,5.86,14,5.27,15,2,15,2,15,2.67,21,1.8,15,-0.03,0.58,-2.11,-2.15,-1.11,-1.08
cheekbone,9,6.29,14,4.13,15,6.67,15,5.27,15,6.19,21,3.2,15,0.36,-0.39,1.78,0.14,1.2,0.27
chestnut,8,6.21,14,3.93,15,2.33,15,8,15,5.14,21,2.4,15,0.29,-0.56,-1.83,2.05,0.51,-0.5
chickenpox,10,6.93,14,2.53,15,2.43,14,7.93,15,6.43,21,4.8,15,0.94,-1.76,-1.75,2,1.35,1.81
choirboy,8,5.57,14,5.13,15,5.93,15,5.13,15,5,21,2.47,15,-0.29,0.46,1.17,0.04,0.42,-0.44
chopstick,9,7,14,3.67,15,2.86,14,7.33,15,6.76,21,4.6,15,1.01,-0.79,-1.39,1.58,1.57,1.62
clambake,8,4.57,14,5.47,15,5.4,15,5.25,12,4,21,2.53,15,-1.2,0.75,0.73,0.13,-0.24,-0.37
clamshell,9,5.64,14,4.5,14,6.54,13,4.87,15,5.71,21,3.87,15,-0.22,-0.08,1.67,-0.14,0.89,0.91
claptrap,8,1.57,14,7,14,2.36,14,6.5,8,1.43,21,1.67,15,-3.93,2.06,-1.81,1,-1.92,-1.21
classmate,9,6.93,14,2.93,15,5.86,14,5,15,5.48,21,3.8,15,0.94,-1.42,1.11,-0.05,0.73,0.85
classroom,9,7,14,2.47,15,5.8,15,5.4,15,6.1,21,3.2,15,1.01,-1.81,1.06,0.23,1.13,0.27
cleanup,7,6.5,14,2.4,15,3.86,14,1.47,15,4.52,21,3,15,0.55,-1.87,-0.56,-2.52,0.11,0.08
clergyman,9,6.14,14,5.6,15,6,14,3.87,15,5.19,21,3.2,15,0.23,0.86,1.23,-0.84,0.54,0.27
cliffhanger,11,6.5,14,4.73,15,4,15,6.4,15,3.67,21,3.13,15,0.55,0.12,-0.44,0.93,-0.45,0.21
clipboard,9,6.93,14,3.27,15,5.64,14,6.33,15,6.62,21,3.73,15,0.94,-1.13,0.93,0.88,1.48,0.78
cloakroom,9,4.86,14,5.6,15,5.87,15,6.38,13,3.81,21,1.6,15,-0.94,0.86,1.11,0.92,-0.36,-1.27
closeup,7,6.14,14,4.27,15,4.15,13,2.93,15,5.33,21,3.07,15,0.23,-0.28,-0.31,-1.49,0.64,0.14
cloverleaf,10,5.36,14,4.27,15,5.79,14,6.14,14,5.62,21,3.27,15,-0.48,-0.28,1.05,0.75,0.82,0.33
coachman,8,5,14,5.13,15,4.58,12,4.73,15,4.19,21,2.47,15,-0.81,0.46,0.04,-0.24,-0.11,-0.44
coastline,9,6.79,14,4.07,15,5.77,13,3.53,15,5.86,21,4.87,15,0.81,-0.45,1.03,-1.07,0.98,1.87
cobweb,6,6.71,14,2.73,15,3.13,15,7.87,15,6.19,21,3.8,15,0.75,-1.59,-1.16,1.96,1.2,0.85
codfish,7,5.14,14,4.93,15,5.2,15,6.67,15,4.76,21,2.87,15,-0.68,0.29,0.56,1.12,0.26,-0.05
coffeepot,9,6.86,14,3.4,15,6.29,14,4.47,15,6.62,21,5.4,15,0.88,-1.02,1.46,-0.42,1.48,2.38
collarbone,10,6.36,14,4.4,15,6.29,14,5.87,15,6.05,21,5.2,15,0.42,-0.16,1.46,0.56,1.1,2.19
comeback,8,6.79,14,4.67,15,5.14,14,5.67,15,2.86,21,2.13,15,0.81,0.07,0.51,0.42,-0.98,-0.76
commonplace,11,6.29,14,5.47,15,4.85,13,2.87,15,1.81,21,2.13,15,0.36,0.75,0.26,-1.54,-1.67,-0.76
commonwealth,12,5.29,14,6.27,15,3.9,10,4.6,15,2.24,21,2,15,-0.55,1.43,-0.53,-0.33,-1.39,-0.88
congressman,11,6.71,14,5.93,15,6.33,15,4.73,15,4.48,21,2.33,15,0.75,1.15,1.5,-0.24,0.08,-0.56
corkscrew,9,6,14,5.33,15,5,12,4.8,15,5.9,21,3.53,15,0.1,0.64,0.39,-0.19,1.01,0.59
cottontail,10,3.93,14,4.67,15,4.08,12,5.36,14,4.48,21,3.33,15,-1.78,0.07,-0.37,0.2,0.08,0.4
countdown,9,6.79,14,3,15,6.27,15,3.87,15,4.29,21,3.27,15,0.81,-1.36,1.45,-0.84,-0.05,0.33
crossfire,9,5.71,14,5.67,15,4.07,14,5.87,15,3.95,21,3.2,15,-0.16,0.92,-0.38,0.56,-0.27,0.27
crossover,9,6.5,14,5,15,4.93,15,4.53,15,3.33,21,2.2,15,0.55,0.35,0.34,-0.38,-0.67,-0.69
crossroad,9,6.5,14,4.6,15,5.43,14,5.2,15,5.24,21,3.87,15,0.55,0.01,0.75,0.09,0.57,0.91
crosswalk,9,6.93,14,3.33,15,5.2,15,4.93,15,5.86,21,2.93,15,0.94,-1.07,0.56,-0.1,0.98,0.01
crosswind,9,3.79,14,5.6,15,4.55,11,6,14,3.33,21,3.47,15,-1.91,0.86,0.01,0.65,-0.67,0.53
crosswise,9,3.57,14,5.93,15,3.09,11,3.31,13,1.71,21,1.47,15,-2.11,1.15,-1.2,-1.23,-1.73,-1.4
crossword,9,6.93,14,4.67,15,4.57,14,6.6,15,6.43,21,3.4,15,0.94,0.07,0.03,1.07,1.35,0.46
crybaby,7,6.64,14,2.73,15,5.33,15,5.27,15,5.19,21,3.6,15,0.68,-1.59,0.67,0.14,0.54,0.65
cupboard,8,6.64,14,3.2,15,3,15,5.13,15,6.05,21,1.73,15,0.68,-1.19,-1.28,0.04,1.1,-1.14
cupcake,7,7,14,2.2,15,4.8,15,7.07,15,6.57,21,4.07,15,1.01,-2.04,0.23,1.4,1.45,1.1
curbside,8,6.21,14,4.27,15,6,15,3.93,14,5.29,21,2.47,15,0.29,-0.28,1.23,-0.8,0.61,-0.44
daredevil,9,6.07,14,4.4,15,3.71,14,3.07,15,4.9,21,2.8,15,0.16,-0.16,-0.68,-1.4,0.36,-0.12
daresay,7,3.64,14,6.2,15,4.18,11,4.79,14,1.38,21,1.47,15,-2.04,1.38,-0.29,-0.2,-1.95,-1.4
darkroom,8,6.36,14,4.87,15,5.79,14,5.27,15,6.19,21,3.87,15,0.42,0.24,1.05,0.14,1.2,0.91
dartboard,9,6.14,14,4.4,15,5.93,15,5.33,15,6.19,21,2.6,15,0.23,-0.16,1.17,0.18,1.2,-0.31
dashboard,9,6.86,14,4.67,15,3.64,14,7.93,15,6.24,21,3.87,15,0.88,0.07,-0.74,2,1.23,0.91
dateline,8,4.21,14,6,15,2.6,10,4.53,15,1.86,21,1.64,14,-1.52,1.21,-1.61,-0.38,-1.64,-1.23
dimwit,6,5.43,14,5,15,5.67,15,3.53,15,2.57,21,1.2,15,-0.42,0.35,0.95,-1.07,-1.17,-1.65
dipstick,8,3.21,14,6.64,14,3.33,9,5.38,13,2.9,21,2.13,15,-2.43,1.75,-1,0.22,-0.95,-0.76
dockyard,8,4.43,14,5.07,15,5.23,13,2.8,15,4.67,21,3.6,15,-1.33,0.41,0.58,-1.59,0.2,0.65
dovetail,8,3.64,14,5.6,15,3.33,12,5.91,11,3.57,21,1.8,15,-2.04,0.86,-1,0.59,-0.52,-1.08
drainpipe,9,5.36,14,5.47,15,5.86,14,5.87,15,5.14,21,3.07,15,-0.48,0.75,1.11,0.56,0.51,0.14
drawback,8,5.93,14,5.2,15,2.13,15,6.4,15,1.86,21,1.07,15,0.04,0.52,-2,0.93,-1.64,-1.78
drawbridge,10,6.36,14,4.2,15,4.15,13,8.13,15,4.9,21,3.47,15,0.42,-0.33,-0.31,2.14,0.36,0.53
drawstring,10,6.43,14,4.73,15,3.87,15,6.93,15,5.48,21,2,15,0.49,0.12,-0.55,1.3,0.73,-0.88
driftwood,9,6.14,14,4.73,15,4.67,15,6.53,15,4.95,21,2.73,15,0.23,0.12,0.11,1.02,0.39,-0.18
dropout,7,6.79,14,5.27,15,4.33,15,4.73,15,3.62,21,2.47,15,0.81,0.58,-0.16,-0.24,-0.48,-0.44
drugstore,9,6.86,14,4.6,15,6.2,15,5.07,15,5.76,21,3.33,15,0.88,0.01,1.39,0,0.92,0.4
dunghill,8,2.86,14,5.87,15,4.53,15,4.64,11,3.38,21,1.87,15,-2.76,1.09,0,-0.3,-0.64,-1.01
eastbound,9,6.29,14,5.47,15,5.93,15,3.47,15,2.48,21,1.13,15,0.36,0.75,1.17,-1.12,-1.23,-1.72
edgewise,8,3.07,14,6.33,15,2.82,11,2.82,11,1.76,21,1.53,15,-2.56,1.49,-1.43,-1.57,-1.7,-1.33
elsewhere,9,6.5,14,4.53,15,4.6,15,3.53,15,1.57,21,1.4,15,0.55,-0.05,0.06,-1.07,-1.82,-1.46
eyeball,7,6.93,14,2.13,15,5.8,15,3.47,15,6.76,21,3.53,15,0.94,-2.1,1.06,-1.12,1.57,0.59
eyebrow,7,7,14,2.6,15,5.14,14,4.73,15,6.71,21,4.47,15,1.01,-1.7,0.51,-0.24,1.54,1.49
eyelash,7,6.93,14,3,15,5.07,14,4.33,15,6.43,21,4.87,15,0.94,-1.36,0.45,-0.52,1.35,1.87
eyeless,7,5,14,4.13,15,4.38,13,3.67,15,4.76,21,4.33,15,-0.81,-0.39,-0.12,-0.98,0.26,1.36
eyelid,6,6.5,14,3.27,15,6,14,4.4,15,6.05,21,4.8,15,0.55,-1.13,1.23,-0.47,1.1,1.81
eyesight,8,7,14,3.2,15,6.27,15,5,15,3.43,21,3.67,15,1.01,-1.19,1.45,-0.05,-0.61,0.72
eyesore,7,6.21,14,5.93,15,5,15,5.8,15,3.43,21,4,15,0.29,1.15,0.39,0.51,-0.61,1.04
